,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.012724130100487193,0.48284608600299295,0.4063867999095507,0.01439283090645841,0.03963305760568196,0.799711710180377,0.1756852280595589,0.5619678924101191,0.06143007512052192
1,KNN,0.06076299058121276,0.6804618290975011,0.39552404335339936,0.01712273083274613,0.09055766075098307,0.2538572850344406,0.31240429002049047,0.46108071688834085,0.049057883316125137
2,KthNN,0.05139792430789521,0.727161793995642,0.4132650847113474,0.01587431948110886,0.07607614088939535,0.24824260923156613,0.2721604067082957,0.4041664507116945,0.04525390308645691
3,LOF,0.06842262818269114,0.33833381904994675,0.47458035537104176,0.01889569029113628,0.10126752194244265,0.023035267493401585,0.3707653821103141,0.4426360649634077,0.07865806564117625
4,CBLOF,0.003768551530817769,0.1480210423420933,0.04958414809384402,0.015182014446937031,0.03963709038658096,0.013852637890080231,0.15850976318452822,0.02077108001183202,0.05186759660966195
5,uCBLOF,0.018329293284855778,0.7092732206105452,0.4841559917774751,0.01502607903237559,0.05034144850933189,0.8980195415493109,0.23376861006534455,0.5343062870030227,0.03847866809843723
6,LOoP,0.049016681609789614,0.3244298426200556,0.4455250305250305,0.0208434714745823,0.12686856885638684,0.03468950398698038,0.4046062628102376,0.19344631354342498,0.08484365272246572
7,LDCOF,0.06449327973486102,0.5305478945929896,0.18119419642857143,0.016478320169097907,0.049896743668721405,0.1358619475999212,0.22249624330349926,0.18977432992718085,0.03886543739967008
8,HBOS,0.010221011983423497,0.438805157953201,0.3775467212435004,0.015780911199277534,0.04647458365248197,0.9031355843168031,0.19369508706577973,0.5393886381491764,0.09134304617008525
9,OCSVM,0.006728561669560182,0.5890249142155085,0.30950612813726475,0.01944092584389221,0.05101607094511562,0.8988024296137904,0.1797085602276232,0.5401284266164819,0.03365022831697498
10,Nu-OCSVM,0.007993500816211894,0.5694495493887218,0.3098232977401487,0.022637699555164786,0.05059628077481426,0.8977829185108684,0.1899510715102773,0.5244584866974139,0.03365022831697498
