,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0033616090976291645,0.5488731083092311,0.5215229460484458,0.017865324513242926,0.03539461216717931,0.9056341297698115,0.15367370904211053,0.6706169274766371,0.06154053827659127
1,KNN,0.0040643180739082215,0.3697291032162937,0.2590294396556644,0.01758610294145638,0.05191632806384081,0.22352747270963524,0.28660372534438894,0.6011261147130094,0.11824947917132304
2,KthNN,0.004152171790542918,0.3453671279828243,0.25689547899437415,0.016088130216189756,0.04555181952429786,0.26172882271767584,0.27119478574575123,0.5457895223654093,0.11750547505308762
3,LOF,0.006934149350886257,0.3028069979149852,0.24037981868765831,0.019436224485732432,0.06057246817432424,0.07255073959810462,0.21845311044588397,0.4974972528793039,0.03902238688724033
4,CBLOF,0.0009371000276942974,0.07999593348091533,0.01629057440494385,0.0210626279922018,0.026568766712942275,0.25652428070239874,0.07725305961789572,0.04144894657736277,0.02427478210396061
5,uCBLOF,0.004297337202148744,0.2541067448766677,0.24262742464590165,0.016276493032429985,0.03886195266386571,0.07965991216155241,0.23933078896559212,0.4547265423134286,0.07465852332707287
6,LOoP,0.0036100669816605422,0.27531628103498995,0.09051137233465899,0.02136956296380236,0.06893045607205685,0.07183370985252358,0.19210783607768397,0.22683180500823324,0.037080478526360594
7,LDCOF,0.002512928783653553,0.2390078435167731,0.12213814837410399,0.013864420981714582,0.03559301417770752,0.1356864777582151,0.17262922336496675,0.3705090433800716,0.12785706756374426
8,HBOS,0.003688295348252252,0.3302785014040739,0.48883996851102113,0.016344119914074362,0.03233208139293108,0.9170052046259255,0.11942453691184125,0.5716368145507054,0.18210660882074767
9,OCSVM,0.004022606104502561,0.1343053032169807,0.030433556491172086,0.018101135061690865,0.06554123521474188,0.051785936530802046,0.07089197175047227,0.5798824713151197,0.12351888789079708
10,Nu-OCSVM,0.0015736513680579044,0.12326893850060525,0.02956233245006959,0.020224264812051404,0.06525206168980682,0.07841103365950536,0.07855244104330464,0.6196336720017863,0.12351888789079708
