,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7787675189249992,0.8993341538073147,0.9672977624784853,0.4800664451827243,0.562782383551518,0.9957840219913997,0.7576462585034013,0.9550115887523506,0.6970203906680545
1,KNN,0.8214513726324749,0.8297200921455394,0.8835341365461847,0.47078007395311294,0.647098981879245,0.9400473450032066,0.8495646258503402,0.9628722613372984,0.8224774967852551
2,KthNN,0.8276837016994497,0.8212944554892864,0.8812392426850258,0.45586275503500573,0.6200047655362844,0.9585500382566583,0.843156462585034,0.9616149910351162,0.828256077398812
3,LOF,0.5036329918219682,0.7918520622297959,0.8697647733792312,0.49458490530622967,0.694140309752605,0.6928643625024109,0.7390068027210884,0.9215791314995408,0.5384275304635356
4,CBLOF,0.2734928404219743,0.3620183659945091,0.22776821572002293,0.5389567730915779,0.45371080219470217,0.8017679850244865,0.4703945578231292,0.42312612061048677,0.27917580062457903
5,uCBLOF,0.7991061928069801,0.7838051058727002,0.849110728628801,0.4487114514706158,0.5804198057495769,0.8721433690879578,0.8368299319727891,0.9417391874754012,0.7594440022043966
6,LOoP,0.5091964855744383,0.7747798920761148,0.8215720022948939,0.5318242393528164,0.7166356664095588,0.6892836768788885,0.7315510204081633,0.9258702497048148,0.5204102626905884
7,LDCOF,0.7119751922901529,0.7165893527722553,0.7487091222030982,0.42280909210353435,0.5490995864846914,0.9259530213842362,0.7056054421768707,0.9449260943718022,0.8395762659971833
8,HBOS,0.8020247469066367,0.8057685632238316,0.9695926563396443,0.4479418886198547,0.5394501427038474,0.9961135159002722,0.7022993197278912,0.9285651812655793,0.8344890086338865
9,OCSVM,0.8257075973611407,0.5125437849095901,0.5662650602409638,0.5082868780149032,0.6152294091560788,0.7903612585281264,0.5220136054421769,0.919972012069795,0.8192566284979487
10,Nu-OCSVM,0.5621560818411212,0.5591214617059548,0.5697074010327022,0.5135705839292752,0.627902479975932,0.8781526327281826,0.5453469387755102,0.9197916211133949,0.8192566284979487
