,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.008227999906182507,0.6167085706916688,0.31679334273391424,0.014646938784533403,0.03421802962989489,0.6053490218800829,0.15642544064446268,0.6542575172155531,0.06485222876725513
1,KNN,0.017541553095068226,0.6661364618428559,0.1811898571485459,0.017553130874644753,0.0534505602196808,0.23409921828700775,0.2085806873718326,0.28669732183507074,0.10405079419316371
2,KthNN,0.013992195882050015,0.6633379139710266,0.17585261287422185,0.016360716296466418,0.04615838812147595,0.2530939694365212,0.18139796362363214,0.22697299079681868,0.09951395346389426
3,LOF,0.014869803073973826,0.30608645428979464,0.3397953300007144,0.01566899373042791,0.05836356232375528,0.025139864020410234,0.2884865144815133,0.0925022085122437,0.07944140622209724
4,CBLOF,0.0014222903480705456,0.08032063404502884,0.02230430634172945,0.016647213447280283,0.028753021390015496,0.019815918515046167,0.10210803667787574,0.008136100977140662,0.053962070749372704
5,uCBLOF,0.018017563129416617,0.6717161391667925,0.3319671583493611,0.016587962393290412,0.03533813163645431,0.7560121002165548,0.16362707273370322,0.6544724588678136,0.08669242155226524
6,LOoP,0.013327980493166042,0.27277106987959526,0.39444171008255346,0.016016795790863247,0.06909009012805745,0.02359832243417789,0.29044253618625926,0.06676008625504617,0.0770744350357483
7,LDCOF,0.01109604846107674,0.5444989250851933,0.2874856666883019,0.015465002960136967,0.032962997992910616,0.362582374667712,0.1633788765662971,0.6163452720316465,0.1027442787080995
8,HBOS,0.004635755638414219,0.4633343365808585,0.09496228705657446,0.01648837831907131,0.03028810317904783,0.5444446512915277,0.11478396697710139,0.13222978436437324,0.18001312423932336
9,OCSVM,0.00837960155740131,0.6356610822395519,0.22211797599783967,0.016622038074005096,0.035909429617198105,0.824444712897408,0.1670663728095085,0.4746901751283533,0.07433079202056925
10,Nu-OCSVM,0.008657227972974177,0.6267250449815347,0.32174689733187267,0.037355597846500214,0.03595939020380869,0.796199570342273,0.17915808406042166,0.431114049911149,0.07433079202056925
11,RED1,0.007884347731657424,0.628153715170015,0.11800697546154744,0.01644377056772138,0.03438726023499086,0.7230275492382863,0.14572010401428556,0.6323451942663887,0.11217303916570326
12,RED2,0.007393634325710672,0.6190428570429929,0.11950520354728679,0.01642627076713535,0.03499733688297373,0.3632248759978963,0.14141078074637597,0.6380047639101806,0.08869691351565638
