,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9078223330191835,0.929849474581085,0.8588640275387263,0.4539388479081029,0.5780409293783344,0.9779479602436503,0.7717006802721088,0.9460521712511479,0.6095701426734431
1,KNN,0.925607272063965,0.9346145350121492,0.8795180722891565,0.446083675882651,0.6198573664556238,0.9483529253795154,0.804421768707483,0.9335559977259806,0.7447957871532668
2,KthNN,0.9104976742772019,0.9315535359272934,0.876649454962708,0.44690954821029716,0.606045304007849,0.940436765425663,0.7879795918367348,0.9341409017361263,0.7408003184128346
3,LOF,0.9475268294165932,0.8875635078418378,0.8800917957544463,0.4548585693638906,0.6600015416434555,0.5311503470106937,0.8199863945578232,0.9351849827261993,0.5979958361398567
4,CBLOF,0.42960508314839024,0.2282179936255483,0.17555938037865748,0.45193986147868687,0.512104272455881,0.04038980770264628,0.36734693877551017,0.28151921983644546,0.5816300287796217
5,uCBLOF,0.8888821329766212,0.9201300135693774,0.8846815834767641,0.44720986542035024,0.5722256332176348,0.7686126731836751,0.776312925170068,0.9336215944373989,0.6255244626783417
6,LOoP,0.9297114887666069,0.8946953201426363,0.8496844520940906,0.4590630103046343,0.6827629475731866,0.4780855721058386,0.8223401360544216,0.8964555910263698,0.6591121180576817
7,LDCOF,0.7663332623962545,0.6386285461832182,0.6322432587492828,0.4997184526155753,0.5754017646712232,0.5023139481763051,0.5123673469387755,0.885850789347094,0.5141387545159513
8,HBOS,0.9125345818259204,0.9131559847265612,0.7888697647733792,0.4489648441165981,0.5343071185874774,0.9713375205455963,0.7791156462585034,0.9393886386495823,0.8078084624334089
9,OCSVM,0.8526434195725534,0.9134715516425258,0.8284566838783706,0.44648722713365996,0.5605538913468886,0.9813007875291702,0.73578231292517,0.9250010932785236,0.4031143224542282
10,Nu-OCSVM,0.8472927370565165,0.9109785730064061,0.8433734939759036,0.4585656099254838,0.5560419757765017,0.9796944410260172,0.7315510204081633,0.9223772248217956,0.4031143224542282
11,RED1,0.8841090809594746,0.9324686799835905,0.8737808376362592,0.44991272031082824,0.5712552292010369,0.9890139311308811,0.768639455782313,0.9287455722219793,0.5240965035821444
12,RED2,0.8997355060347187,0.9274511660197544,0.8657487091222031,0.45208063517089925,0.5795014872981524,0.9929138426424535,0.8042312925170069,0.9358464162329996,0.6200869511971098
