,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.006900441265159258,0.6461747086818147,0.4603685590527695,0.015509592760631923,0.03666827381376718,0.9191072994413629,0.15052037955436431,0.6579961886948097,0.05981434798861569
1,KNN,0.02575940209746181,0.619682338901511,0.19040653245350037,0.01461331069845579,0.06033114431333335,0.2618081208051612,0.2755172477880093,0.593850081839937,0.06241102022395208
2,KthNN,0.022311989816199845,0.6125193493559723,0.18742394355634218,0.014583613646658559,0.05539208719742731,0.25074367037080675,0.26057324856223907,0.5829941392513276,0.05935913001375109
3,LOF,0.05755739335273744,0.46834925617013207,0.29984073097449526,0.01527173447883031,0.07215708271764443,0.024095002280325996,0.3173028896042999,0.27734378636552687,0.08192271997653851
4,CBLOF,0.0040599239363561575,0.14989071322698397,0.016719902196255382,0.016749366823615428,0.03247832820537739,0.009791579026994728,0.049292116651474704,0.00968651627865955,0.05029898744488007
5,uCBLOF,0.019051621122094232,0.583364183820066,0.16938068773139253,0.014571935886671314,0.04767965163837294,0.5705261433863797,0.25399823190406046,0.5972257509584691,0.05052239239548938
6,LOoP,0.06573154852470667,0.4757484028480699,0.26288516658899697,0.015473116768093346,0.08440115676066375,0.030032519757816366,0.31217929511863857,0.16760674892018723,0.09034254601416977
7,LDCOF,0.007072212134089276,0.42901300226935424,0.19513977465986393,0.0081426909654905,0.21625663780663779,0.4815632485697725,0.19523809523809524,0.4021200006045927,0.056144242912076495
8,HBOS,0.005803336424527487,0.5456182328659274,0.3334395582577269,0.016750902351118868,0.03611733427843875,0.9223883496697192,0.12830626328425207,0.6417925364942992,0.1554340042031646
9,OCSVM,0.17676434098058352,0.6239552604748502,0.03794514039731874,0.34543967670691705,0.07112297483186994,0.4217716457847485,0.06804818638980933,0.01528496495557744,0.06494865546239079
10,Nu-OCSVM,0.17749374109894553,0.1297134009207304,0.0263075287776907,0.5081553398058253,0.07127708692872936,0.42143191238946054,0.060751401478338664,0.021143010160514217,0.06494865546239079
