,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8705195634329492,0.9353087822272713,0.9569707401032703,0.47898718020909586,0.5669461320874309,0.9972562217709049,0.7493605442176872,0.9472055800935847,0.5997201641050763
1,KNN,0.9465235764448363,0.9407680898734577,0.8783706253585771,0.4519351690222797,0.6299517554314057,0.9683056517173966,0.8204625850340136,0.9385468141863822,0.6665801236911396
2,KthNN,0.9318700027361444,0.9387800183028812,0.8755020080321285,0.4517052386583329,0.6120866855569601,0.965731920066388,0.8050068027210884,0.9386178772904185,0.6474631069744657
3,LOF,0.9769251816495912,0.9133137681845435,0.8777969018932874,0.45681063122923593,0.6842071433162642,0.5495438629211576,0.8363673469387756,0.9390825206629642,0.7072242973486008
4,CBLOF,0.578542547046484,0.36542648868692607,0.219162363740677,0.5145841545132046,0.508095134633514,0.03874514084386825,0.4232244897959183,0.20019569685573096,0.5546359684036496
5,uCBLOF,0.9235703645152464,0.9275773927861404,0.868043602983362,0.4529252773241737,0.5729705377038117,0.9801361952320204,0.7913877551020408,0.9447675689858749,0.5702651399179474
6,LOoP,0.9834919283738182,0.9195935498122376,0.8755020080321285,0.4589222366124219,0.708063699167613,0.491007634260742,0.8393333333333334,0.9143744260287751,0.7344094054252649
7,LDCOF,0.8205089228711275,0.5597368171920856,0.6333907056798622,0.4986204178163185,0.5009028350616702,0.9712048006437004,0.5369387755102041,0.9024358245506625,0.5250211254669035
8,HBOS,0.8757182379229622,0.8857963331124364,0.9409064830751578,0.44926516132665123,0.5440170312823617,0.9974039233011966,0.7407074829931973,0.9426520750426378,0.8040169003735228
9,OCSVM,0.9597178731036998,0.9154754015589005,0.672403901319564,0.5457420650562156,0.5761258154027311,0.9774356547978028,0.5430884353741497,0.5461254209122316,0.5905284428387729
10,Nu-OCSVM,0.9618763870732374,0.5869860203856228,0.51061388410786,0.5007883326763894,0.5742587696803648,0.9764018714805593,0.465952380952381,0.6199900511654349,0.5905284428387729
