,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.013797926297265594,0.6227888073400741,0.22652442820510046,0.014554390262889884,0.03682943259960849,0.6243072287940906,0.20518889022582099,0.6509320744604772,0.05569142851297734
1,KNN,0.01602772863809527,0.6363414904547005,0.19394479447192403,0.01566661219723436,0.07694355714867024,0.2924469608722487,0.280303690114381,0.5785110272926718,0.07770748329612609
2,KthNN,0.012735081803452999,0.6304894118092029,0.19848774453497137,0.015070360592537788,0.06452848959638491,0.3048756962219399,0.2496684572964583,0.5530113629940973,0.07498145577148674
3,LOF,0.07415334052413655,0.4656678259831658,0.22749623025829313,0.015707156983231885,0.0676205132817533,0.02259930571229919,0.35471209196970166,0.3340258122484238,0.08035061644856592
4,CBLOF,0.0009739323429475126,0.08655153698172979,0.02003647676702916,0.016743190780553315,0.03316088027893096,0.010572284125194006,0.1086524787713268,0.008546221548099626,0.23888002687908824
5,uCBLOF,0.007464013458801183,0.6417740398414759,0.22747651609728198,0.014537162994469489,0.04826695090151177,0.12289717660103178,0.30584473286137365,0.607746770284452,0.06792324129121326
6,LOoP,0.05654523415090488,0.44044699218953215,0.3104769110813747,0.015701875160030708,0.08190168877963432,0.031257698648423315,0.3486442387471912,0.2359542761295923,0.07897004127264969
7,LDCOF,0.013880072265777218,0.502405976434245,0.262448132780083,0.01392423514020003,0.04785008782132025,0.009454556635100234,0.1974702380952381,0.5907175829368153,0.04397338014884698
8,HBOS,0.008514850571619808,0.6125003347949433,0.17516229015895712,0.016127798895475408,0.04013673819007702,0.8095592287605875,0.1509375821782289,0.6679485041302776,0.1384224648689553
9,OCSVM,0.006675897556348452,0.5943136873615203,0.2032941042480465,0.02137915896328003,0.04916188570350641,0.8578780643987,0.21638779448478562,0.6130125560847126,0.02989927635900804
10,Nu-OCSVM,0.006780670702190414,0.5845706910677286,0.18505346234382375,0.012901023542150662,0.04887776782718361,0.8577306477823774,0.23098238973246665,0.6126316466911547,0.02989927635900804
11,RED1,0.008097190691148528,0.6412808221371538,0.14642451124667852,0.01608498843013584,0.0462652306268084,0.8014217875285579,0.1743080931714297,0.6333027561435994,0.0523306374177767
12,RED2,0.010318693811257204,0.622359000857231,0.16727672170307367,0.0159409893865022,0.03777523180932377,0.47488404379359445,0.17251247097741879,0.6483626302381768,0.08108966756474706
