,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8700331377496732,0.9373284104894444,0.9563970166379805,0.47208926929068834,0.5622224567514051,0.995625466424209,0.6959863945578231,0.9429581930292562,0.5553989345416692
1,KNN,0.976195543124677,0.9827069330051438,0.9558232931726908,0.4573878033673067,0.6794190375502611,0.9513355433783113,0.8740272108843536,0.9638124808676258,0.7732300532729166
2,KthNN,0.9733681938406348,0.985862602164789,0.955249569707401,0.45047581507967793,0.6481234940659839,0.9522623660220745,0.8435238095238096,0.9633533038876985,0.7644510440266977
3,LOF,0.9686559450338977,0.8473602827479566,0.9609868043602983,0.48336993449330856,0.747672065375949,0.49880842548436144,0.9108979591836734,0.9745047448287927,0.6861612883473149
4,CBLOF,0.42620010336545766,0.25513585155732277,0.03155479059093517,0.6047450119188392,0.5302125849884658,0.09474239115452046,0.6371020408163265,0.16818996807626713,0.7319784459004347
5,uCBLOF,0.9398048216945853,0.9851367982580707,0.9546758462421113,0.4502130375208815,0.5673541682289547,0.9876086136210009,0.8638775510204082,0.9583898193903879,0.7011891494703324
6,LOoP,0.970236828504545,0.865915617406671,0.9598393574297189,0.5078176323741953,0.7640087014976538,0.49463030921010903,0.9122585034013605,0.9442537280797656,0.6932178066254363
7,LDCOF,0.9016812087678229,0.9772791820505538,0.6273666092943201,0.46927379544644027,0.5815882576650311,0.9857997603449035,0.7758639455782312,0.9583242226789697,0.6428497948686547
8,HBOS,0.8823457878575989,0.8875319511502413,0.9460699942627653,0.44952793888544773,0.5557360323643579,0.9961558874105148,0.7301632653061224,0.939733021384528,0.8200563345784091
9,OCSVM,0.8463806889003739,0.9674966076556534,0.9569707401032702,0.456585393321696,0.5571114176915275,0.9849510561920624,0.7467619047619047,0.9492664101106398,0.4775825117873982
10,Nu-OCSVM,0.829903018879397,0.9665814635993561,0.9569707401032702,0.42951930476565875,0.5552486961590927,0.9843316626779355,0.7488299319727891,0.9484847159662395,0.4775825117873982
