,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9222934970966467,0.9237905897945659,0.861732644865175,0.44057473206073916,0.5707325043833337,0.9892217884853955,0.7842040816326531,0.9507040713692221,0.5479468495499357
1,KNN,0.9446386769221415,0.9374230805642337,0.8795180722891567,0.4514471535559434,0.6580741385990474,0.9698942139065692,0.8291836734693878,0.9437726855293656,0.7839274998469169
2,KthNN,0.9302283160550877,0.9350405503487014,0.8732071141709696,0.44686731610263336,0.6310610914857984,0.9724754363717757,0.8101700680272109,0.9425864783312196,0.7810630090012859
3,LOF,0.9656157845134223,0.9076966770803748,0.8800917957544464,0.4551307318355013,0.7092386652659639,0.49605328363917,0.8584897959183673,0.9452376787510386,0.7152213581532055
4,CBLOF,0.3021311525248533,0.4112468048849759,0.35513482501434307,0.4971751412429378,0.49623229146580106,0.09985917778886963,0.6006122448979592,0.2131729129312984,0.6604727205927379
5,uCBLOF,0.8925911288116013,0.936413266433147,0.8967297762478486,0.44509826003716424,0.5758913466654525,0.8522705447681885,0.8357551020408163,0.945483666418857,0.7614549017206539
6,LOoP,0.9634268689386799,0.9071286566316387,0.8714859437751004,0.45692794263941283,0.7322159877632678,0.4945275525650051,0.8579455782312925,0.9038680194166265,0.6968593472536893
7,LDCOF,0.8987018514577569,0.7936823503423901,0.5949512335054503,0.4519398614786868,0.5813639577485913,0.49995299131906357,0.5061836734693878,0.9231698517514323,0.6122074582083155
8,HBOS,0.9007995622168851,0.91530183975512,0.878944348823867,0.45141430636109386,0.5688922128425428,0.9847595053718565,0.7525034013605442,0.9308829317356889,0.8485310146347437
9,OCSVM,0.8655641017845742,0.9186152923727476,0.816982214572576,0.49499784147005277,0.571000632057078,0.9847301026521815,0.7645714285714286,0.9444177198583111,0.3946874043230666
10,Nu-OCSVM,0.8589973550603471,0.9132506548013506,0.8313253012048193,0.4220395292527732,0.5699261964001314,0.9839428537505157,0.7549115646258503,0.9445817116368566,0.3946874043230666
11,RED1,0.8917398838658681,0.9286818769920162,0.8737808376362592,0.45410777633875776,0.5659262928156179,0.9891577853382344,0.7816190476190477,0.9217868544190317,0.6405070112056825
12,RED2,0.894749642781139,0.9204455804853419,0.882960413080895,0.4544550181128817,0.5685707162956456,0.9897028312474984,0.7898503401360545,0.9258975816679056,0.7269279284795787
