,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0065134009329527965,0.6580929468440428,0.443662392368717,0.01743162571177461,0.035608118358594815,0.8468185176292826,0.12116019982593945,0.6619256531887137,0.06801856708107686
1,KNN,0.023501919171075268,0.656452125679603,0.19196110507486774,0.01575821384384726,0.061230242220116166,0.38617991684989894,0.28541596022984345,0.6122021357558599,0.1002822959371649
2,KthNN,0.017530611240091767,0.6475830917203871,0.18990494596094265,0.015101499574110661,0.053562087040657624,0.39176101640109917,0.2623833737016883,0.5746584963019065,0.09682641707861805
3,LOF,0.07064480566219286,0.4784565100430451,0.18245240567450322,0.01553235437730353,0.07020667294412421,0.03542349259812984,0.33431840004273844,0.46335081632019226,0.11050313151798255
4,CBLOF,0.0062657442512380175,0.07727993509398673,0.02256690029978345,0.01793162603349475,0.030505245320640768,0.010132922516441661,0.055199024377602095,0.008082663823437947,0.11688186717003533
5,uCBLOF,0.012165023683822059,0.6731010367275709,0.18870769783309557,0.015268958689206986,0.04337855281436317,0.24236582086883124,0.2972007389849792,0.6302754678129077,0.08895055221801353
6,LOoP,0.06820213209704754,0.48396925982107786,0.3157769728469987,0.01622278600190879,0.08223871241609321,0.03188094403101038,0.35986222219451197,0.30005430311555986,0.10931010706147265
7,LDCOF,0.021535622170899188,0.38986576177388893,0.21214657738095236,0.0081426909654905,0.18252723665223664,0.4836997705205324,0.17623887280719275,0.646101461381475,0.047324597814293524
8,HBOS,0.005115148575937194,0.46446204089355253,0.38079102861711556,0.016274371148133814,0.036116478704367516,0.9341638321124206,0.11814368312000195,0.6389494261877713,0.14465432721166768
9,OCSVM,0.040279791118178886,0.10383237502888772,0.07123078116860113,0.34543133598236125,0.07242070115517708,0.5118939313056354,0.06294782867013797,0.011824052202553281,0.09374660627409243
10,Nu-OCSVM,0.0037140932702949513,0.11577868135339862,0.021542055052852765,0.5081521739130435,0.07111918232090834,0.5037927295281829,0.07078703356458621,0.009100235703599953,0.09374660627409243
