,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8700331377496732,0.9373284104894444,0.9563970166379805,0.47208926929068834,0.5622224567514051,0.995625466424209,0.6959863945578231,0.9429581930292562,0.5553989345416692
1,KNN,0.957468154318548,0.9456909337625043,0.8835341365461847,0.4543236293334835,0.6562358836122241,0.9839371974214273,0.8430612244897959,0.9473859710499848,0.7836103116771784
2,KthNN,0.9434530143191561,0.9420934709205087,0.8772231784279978,0.4489742290294123,0.6293320013712425,0.9837517105936674,0.82421768707483,0.9481020684829667,0.7656242728553059
3,LOF,0.9813334144042806,0.9128404178105968,0.882960413080895,0.45488672410233305,0.7139168808117112,0.48535619713275074,0.8580272108843537,0.9528031661346045,0.8025411793521524
4,CBLOF,0.8067977989237831,0.33371201363249076,0.32816982214572576,0.5159637366968861,0.4752937547761375,0.03710205368060136,0.462108843537415,0.1706662439323042,0.546553181066683
5,uCBLOF,0.9271577539294074,0.9413992237053866,0.8582903040734366,0.45112337406385494,0.5762451769938366,0.8274542926569383,0.8388027210884355,0.9458499147242752,0.7208695119710979
6,LOoP,0.9806949806949807,0.9196251065038341,0.8886976477337923,0.45636954032697036,0.7351058578433999,0.462936215717104,0.8682176870748299,0.9301832334805615,0.7910550486804238
7,LDCOF,0.8963001246465814,0.5148474233961311,0.6348250143430866,0.49980291683090267,0.5004440524589521,0.982923032903274,0.7287210884353742,0.9385741461494731,0.5697667013655012
8,HBOS,0.8593013711123947,0.8686294928839661,0.9518072289156626,0.44961240310077516,0.5508681662176206,0.9969709593363445,0.7128299319727891,0.9371310184982726,0.8176915069499725
9,OCSVM,0.9751618885477153,0.5034870144214081,0.4165232358003442,0.5454792874974191,0.5949669386386848,0.9907246394536088,0.4734421768707483,0.4258647833121966,0.745191353866879
10,Nu-OCSVM,0.7618034232207461,0.5316671400170406,0.4165232358003443,0.5005912495072921,0.5992419862438312,0.9910045003486795,0.5565578231292516,0.22758232387282984,0.745191353866879
