,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8603350256893564,0.9291236706743665,0.9609868043602984,0.4800664451827243,0.5585219963451389,0.9972663114390083,0.7078095238095238,0.9474351685835484,0.7593827689669952
1,KNN,0.9623324111513089,0.9473634384171163,0.8950086058519793,0.47078007395311294,0.6509245787625251,0.9068781726082327,0.8256054421768707,0.9291446188831066,0.8595309534015064
2,KthNN,0.9502629738850211,0.9437975322667171,0.882960413080895,0.45586275503500573,0.6213042683046587,0.9276041344198582,0.802142857142857,0.8680713473564525,0.8607874594329803
3,LOF,0.9307755449487733,0.8101549433557386,0.8990246701090074,0.49458490530622967,0.6842087614002386,0.5289192818908037,0.8528299319727891,0.8288855118730047,0.584363480497214
4,CBLOF,0.5361627093910558,0.3558963678247973,0.3516924842226047,0.5389567730915779,0.49126773085259856,0.2180367085566246,0.48942857142857144,0.20641645165522368,0.4472132753658686
5,uCBLOF,0.9402608457726568,0.9133768815677363,0.8818129661503155,0.4487114514706158,0.5604096307911783,0.9049788180667229,0.8268707482993197,0.9544485503126776,0.8800085726532361
6,LOoP,0.9170948226066336,0.8044747388683771,0.9139414802065404,0.5318242393528164,0.7104832647712096,0.530504710167914,0.8419999999999999,0.6230020334980539,0.5666762598738596
7,LDCOF,0.8594533791384183,0.8446779639622581,0.8864027538726335,0.42361619460555217,0.5501734083856477,0.9643555976128253,0.6721360544217688,0.9394433025757641,0.8610728063192701
8,HBOS,0.8110540236524488,0.8110385307204393,0.963855421686747,0.4479418886198547,0.5317115166066748,0.995038176399502,0.6874557823129251,0.9224428215332138,0.8756695854509827
9,OCSVM,0.4425561669656158,0.40944807346397805,0.6351118760757315,0.5082868780149032,0.6024464899629693,0.9643381700042828,0.5028367346938776,0.403373310884681,0.8385304023023696
10,Nu-OCSVM,0.40668227282400504,0.39934993215311304,0.22547332185886404,0.5135705839292752,0.6204306006015256,0.9642147499227351,0.5008843537414966,0.29185616827743033,0.8385304023023696
