,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0065134009329527965,0.6580929468440428,0.443662392368717,0.014649245955607116,0.03556441427213691,0.9228096231614575,0.12116019982593945,0.6619256531887137,0.053397048738899694
1,KNN,0.05528040031614267,0.8287966793840806,0.4211386302772857,0.01558383790464225,0.08663164665072903,0.21193395275756133,0.3421564895457769,0.5872095815523569,0.07277506333735903
2,KthNN,0.044139915699673966,0.8514131805224405,0.4500441857689628,0.014852138717047516,0.06920077129044241,0.20920740309481906,0.278667107887092,0.5195214397131477,0.0687634137321172
3,LOF,0.06519126489102493,0.3742843529644142,0.5038568383779236,0.01720193712225863,0.08637851547467991,0.019955190444629445,0.5042792763981442,0.38228241386862083,0.06767840199636263
4,CBLOF,0.0012222413656473713,0.07223797611054024,0.014013110972272473,0.014625739715171403,0.03916555046997864,0.2879300544789824,0.16753381724886504,0.008183745091981377,0.08644549869940746
5,uCBLOF,0.016901980576358815,0.8834029881680687,0.2826798223276551,0.01503134026922859,0.04501286662413262,0.8894472945915305,0.2879003664390706,0.6002325086747009,0.061201978423124345
6,LOoP,0.03941783661513127,0.38900207627394234,0.5016688470259898,0.01931976558106904,0.10401084225275119,0.033070802345929594,0.5006283320237923,0.1952601861070586,0.07483784753699732
7,LDCOF,0.013407446205741613,0.08355437665782493,0.3640449438202247,0.015465364663402202,0.04952407042490058,0.908556470644687,0.2374914555115702,0.5447052740263617,0.050780416255587234
8,HBOS,0.0065388972482906295,0.5365810696439083,0.358071825547195,0.015660678089309897,0.03754761463932997,0.9101208552783588,0.12813061684642324,0.6630295573136682,0.14616892293688646
9,OCSVM,0.006173504812437659,0.7551694392506649,0.4367107589274641,0.018342791488791286,0.046595009430230844,0.8944127440311689,0.19320337536258125,0.6247940601608227,0.035572909783129734
10,Nu-OCSVM,0.007433722616482172,0.7434929303710752,0.4367107589274641,0.01788407677870249,0.04619252215251969,0.8928630270496356,0.21573255857944468,0.6109713899317063,0.035572909783129734
