,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.004810282833976812,0.6083444060598088,0.46005547518152556,0.017865324513242926,0.03356540853334806,0.8612758201813414,0.11142888738657,0.6756219569230677,0.11457170955878512
1,KNN,0.018667835699545242,0.6685794483060511,0.3149837171396898,0.01758610294145638,0.05036387964864611,0.18503917723414748,0.2261775624787864,0.28648381942627127,0.1997841474409372
2,KthNN,0.014794425007720062,0.6617749678348159,0.21628217836820288,0.016088130216189756,0.043979176608934245,0.22803003230314103,0.19797913729555908,0.23331465857753497,0.20960749908622942
3,LOF,0.017593813508535783,0.34599770154314524,0.4379566258952224,0.019436224485732432,0.05713541188649266,0.023851833900919245,0.3196536509654785,0.12117354101587718,0.06852920124915263
4,CBLOF,0.0019432460279835686,0.12320480161108402,0.020409826690713943,0.0210626279922018,0.03006123635190614,0.015576459330886472,0.0973406268110924,0.008790785442988563,0.036673418152428514
5,uCBLOF,0.014346811403152878,0.5529418586181868,0.1968045505075775,0.016276493032429985,0.034695460238180265,0.178935877162768,0.21408654497037855,0.6609472380001812,0.16724280306950584
6,LOoP,0.013875608570110871,0.3144635126471547,0.37110662078928264,0.02136956296380236,0.06587124196995058,0.024684470163025357,0.31035987273670074,0.09229131830816194,0.06001551389093018
7,LDCOF,0.018277125737201652,0.516691925668237,0.08671724309379282,0.01473548558548172,0.03594543407050384,0.44536451812924877,0.16131609516916018,0.6126375403207774,0.1444567687103903
8,HBOS,0.0037356594624288163,0.3520760846628532,0.4123073331896861,0.016344119914074362,0.03105265071782558,0.948807598827771,0.10410229591325082,0.573428903535087,0.18337663143441957
9,OCSVM,0.0012367528585973187,0.11718486521337751,0.04828309731991989,0.018101135061690865,0.055551146102091276,0.28675017496446986,0.06392268856807373,0.01108185353262308,0.23058979362247198
10,Nu-OCSVM,0.0011379490122235378,0.12760381394242482,0.016138731027465304,0.020224264812051404,0.0571213552162983,0.27425921389252866,0.06368810133526837,0.01083057411376281,0.23058979362247198
