,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0065134009329527965,0.634800420802551,0.443662392368717,0.017865324513242926,0.034867624681914816,0.9228096231614575,0.12116019982593945,0.6619256531887137,0.11260788601419536
1,KNN,0.023501919171075268,0.6518030220977346,0.19196110507486774,0.01758610294145638,0.05938139968931913,0.4140137336504447,0.28541596022984345,0.6122021357558599,0.13834824045684752
2,KthNN,0.017530611240091767,0.6490090600855218,0.18990494596094265,0.016088130216189756,0.05179629582536388,0.41870729496346404,0.2623833737016883,0.5746584963019065,0.13778627261875112
3,LOF,0.07064480566219286,0.4579545289684225,0.18245240567450322,0.019436224485732432,0.06889952443583153,0.02180015062389617,0.33431840004273844,0.46335081632019226,0.09214290144936951
4,CBLOF,0.0062657442512380175,0.07909846686665833,0.02256690029978345,0.0210626279922018,0.03024014881863652,0.009574964005232021,0.055199024377602095,0.008082663823437947,0.043452402242846994
5,uCBLOF,0.012165023683822059,0.623480732136322,0.18870769783309557,0.016276493032429985,0.04206241312254367,0.2597835477353995,0.2972007389849792,0.6302754678129077,0.11862586659010853
6,LOoP,0.06820213209704754,0.44496344929493453,0.3157769728469987,0.02136956296380236,0.081904201097056,0.024449995683598555,0.35986222219451197,0.30005430311555986,0.0876581547174298
7,LDCOF,0.02342837086416921,0.05565371024734982,0.14267113095238096,0.013491365052245,0.04371737572601386,0.48014926939738306,0.26256377551020404,0.6175405402026518,0.06563880642360695
8,HBOS,0.005115148575937194,0.47823293262224054,0.38079102861711556,0.016344119914074362,0.036110841121362966,0.9339909069270638,0.11814368312000195,0.6389494261877713,0.16284137223953354
9,OCSVM,0.040279791118178886,0.12026302034487979,0.07123078116860113,0.018101135061690865,0.07178324883828602,0.5525263681857971,0.06294782867013797,0.011824052202553281,0.1191141627311029
10,Nu-OCSVM,0.0037140932702949513,0.1033192420901896,0.021542055052852765,0.020224264812051404,0.06917064562430218,0.5463799310985733,0.07078703356458621,0.009100235703599953,0.1191141627311029
