,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8794576353631472,0.9421250276121051,0.9466437177280551,0.4800664451827243,0.5703103658030338,0.996846367222643,0.7498911564625851,0.9418594481130012,0.6036519502786112
1,KNN,0.9704800413461832,0.9757960175455205,0.921399885255307,0.47078007395311294,0.6503524186896064,0.961343831683953,0.8362176870748299,0.948588577425985,0.6354675157675587
2,KthNN,0.969993615662907,0.9769636151345893,0.9173838209982788,0.45586275503500573,0.6257944931803898,0.9549008142311202,0.8092585034013605,0.94682839900293,0.6134994795174821
3,LOF,0.9440002432128418,0.800845719334785,0.9334480780263913,0.49458490530622967,0.7110734051048428,0.553888382282237,0.8944081632653061,0.8387687497266804,0.6809987141020145
4,CBLOF,0.5852613017967349,0.22291646943734417,0.2174411933448078,0.5389567730915779,0.4826927227287011,0.30312731301182455,0.5520272108843537,0.34260069095202694,0.5039960810728064
5,uCBLOF,0.9311707658164352,0.9677175044968286,0.9363166953528399,0.4487114514706158,0.5677727219163113,0.9840615857034499,0.8361768707482993,0.9486159093890759,0.5692584654950708
6,LOoP,0.9267321314565409,0.8038120483448515,0.9391853126792886,0.5318242393528164,0.7368338320379735,0.4930011590378839,0.8890068027210885,0.7094557659509336,0.7076706876492559
7,LDCOF,0.9243912078557748,0.7332197292435861,0.878657487091222,0.4133772547253036,0.565093119058842,0.982158460275881,0.7613333333333334,0.9117614903572835,0.5185206049843856
8,HBOS,0.8569908491168334,0.8748146044368709,0.9460699942627653,0.4479418886198547,0.5597434963067511,0.9956702839145974,0.7272789115646258,0.9249956268859055,0.775823893209234
9,OCSVM,0.9104368710667924,0.9692322256934582,0.927710843373494,0.5082868780149032,0.5676025162210129,0.9832455965350652,0.784421768707483,0.9436360257139109,0.5191623293123507
10,Nu-OCSVM,0.9198613686802664,0.9683486383287576,0.9282845668387837,0.5135705839292752,0.567503840996579,0.9829108539604623,0.7959999999999999,0.9442154633314382,0.5191623293123507
