,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.008227999906182507,0.6167085706916688,0.31679334273391424,0.0,0.033618936973938716,0.7938808084510478,0.15642544064446268,0.6542544022815101,0.11949519918171043
1,KNN,0.016993394944824727,0.6647776679714472,0.17990315987799865,0.0,0.0505158439427665,0.18436366342858126,0.22106216735658485,0.27334241046154056,0.17682660053979746
2,KthNN,0.013153774569106911,0.660602332020474,0.18452806529713328,0.0,0.04420403117580808,0.22700625227279486,0.19442927043018765,0.21148335173754967,0.17435425387933584
3,LOF,0.01814898547336316,0.3111927270611491,0.36053748387395623,0.0,0.05705979208172199,0.023758029526793782,0.27429867474110686,0.09337631126038365,0.06529940508991788
4,CBLOF,0.0014718416469222417,0.08142926405737602,0.016251312399230538,0.0,0.027759885980059493,0.012457600639001816,0.07039082654703036,0.008111529315829905,0.057244767396014445
5,uCBLOF,0.011065728075876368,0.5552522813755655,0.3524605148241786,0.0,0.034932573205993495,0.17484992578067063,0.1643236462059988,0.6795588980352804,0.2644906327088412
6,LOoP,0.015602204454623217,0.2859117508354188,0.21745401650745905,0.0,0.06581172945759711,0.0243874414288666,0.293150487812358,0.0704832026000917,0.05944882619303644
7,LDCOF,0.01004499569342364,0.4893103305612505,0.2911222487352182,0.0,0.035926351395004934,0.42298404077273777,0.14116071191356883,0.5994568135544961,0.21028958698593087
8,HBOS,0.004531178455494826,0.46273399544661686,0.09697022015108264,0.0,0.029676002638184637,0.735990983934105,0.11281189364898134,0.15148636154916562,0.2414033920016153
9,OCSVM,0.0015906720799679043,0.10765618659725176,0.037065134685780605,0.0,0.05615575827035796,0.2869543021051945,0.0556164990678552,0.01251232154184095,0.17469804296098132
10,Nu-OCSVM,0.0015665397712204647,0.10461908867166242,0.016484919936019884,0.0,0.057779495348731405,0.27458795287597965,0.0579598553376021,0.010208072018648335,0.17469804296098132
11,RED1,0.007884347731657424,0.628153715170015,0.11800697546154744,0.0,0.03417395635158779,0.7317854666410514,0.14572010401428556,0.6323451942663887,0.09561126039385642
12,RED2,0.007393634325710672,0.6190428570429929,0.11950520354728679,0.0,0.03346743591934255,0.47073346504414676,0.14141078074637597,0.6380047639101806,0.11945917491712384
