,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.008227999906182507,0.6151532694579368,0.31679334273391424,0.0,0.03372469974100591,0.7938808084510478,0.15642544064446268,0.6542575172155531,0.1557424114570882
1,KNN,0.017541553095068226,0.6499871580958693,0.1811898571485459,0.0,0.05305592180525605,0.22841701346640003,0.2085806873718326,0.28669732183507074,0.2671347900381381
2,KthNN,0.013992195882050015,0.6445699103886375,0.17585261287422185,0.0,0.045639688117123635,0.2478093587266426,0.18139796362363214,0.22697299079681868,0.24975067058536182
3,LOF,0.014869803073973826,0.31191399545592013,0.3397953300007144,0.0,0.05886147651842691,0.0187172538764447,0.2884865144815133,0.0925022085122437,0.16407707804150135
4,CBLOF,0.0014222903480705456,0.08113216310920751,0.02230430634172945,0.0,0.028015841605295612,0.014892823519800343,0.10210803667787574,0.008136100977140662,0.09382120153887748
5,uCBLOF,0.018017563129416617,0.5033188548791215,0.3319671583493611,0.0,0.034929382869071005,0.7998388954223741,0.16362707273370322,0.6544724588678136,0.20327217962537975
6,LOoP,0.013327980493166042,0.2993274779196054,0.39444171008255346,0.0,0.07008447484498995,0.020829421578484615,0.29044253618625926,0.06676008625504617,0.1278052225131599
7,LDCOF,0.02171182721291868,0.567981486453164,0.13871644400911937,0.0,0.03400077288654678,0.5224322035064051,0.1477938561686337,0.5720980203179176,0.11801696972823308
8,HBOS,0.004635755638414219,0.45546505102639817,0.09496228705657446,0.0,0.029854738139883225,0.6755659223128574,0.11478396697710139,0.13222978436437324,0.17418868469339413
9,OCSVM,0.00837960155740131,0.619740076043845,0.22211797599783967,0.0,0.03547469099540296,0.8542405815456233,0.1670663728095085,0.4746901751283533,0.11797977331942264
10,Nu-OCSVM,0.008657227972974177,0.6094730439165271,0.32174689733187267,0.0,0.03548281141013949,0.8345359718984562,0.17915808406042166,0.431114049911149,0.11797977331942264
11,RED1,0.007884347731657424,0.6222000398098607,0.11800697546154744,0.0,0.03402459953019691,0.7317854666410514,0.14572010401428556,0.6323451942663887,0.08271982243983285
12,RED2,0.007393634325710672,0.6024307993032441,0.11950520354728679,0.0,0.033300835394614835,0.47073346504414676,0.14141078074637597,0.6380047639101806,0.1359220561743678
