,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.013797926297265594,0.624569769114783,0.22652442820510046,0.0,0.03615835052596147,0.7492004251578449,0.20518889022582099,0.6509320744604772,0.14836250414535515
1,KNN,0.022221591481326432,0.634637641736005,0.1866574581048691,0.0,0.059212743642803954,0.4164294947457794,0.2822091166208024,0.6098746381051933,0.18816066466372144
2,KthNN,0.0171566110119563,0.6346986154144235,0.18006795673537962,0.0,0.05172355215228726,0.4200679068770845,0.26090694952140736,0.5744157158593881,0.1796302268761845
3,LOF,0.08846561285728609,0.43851549970769144,0.17920863321225422,0.0,0.06840227036605052,0.01841058200235686,0.33491149377531915,0.4575380777442827,0.19828998050003796
4,CBLOF,0.0040562757960287505,0.0860856342632247,0.16854690319943702,0.0,0.03025141145284852,0.009658761874476108,0.062073943487103815,0.00886148629230175,0.19338306771616104
5,uCBLOF,0.012921134177223117,0.5939445954576956,0.22189058116440669,0.0,0.04132983637542021,0.25393013172829876,0.23929313582379114,0.6232774642285798,0.1459710208476476
6,LOoP,0.06847507654372004,0.42596827944105814,0.30130876092380676,0.0,0.08139094496711649,0.02358186921335207,0.3354488384692284,0.27125764384337275,0.15746002841565718
7,LDCOF,0.1603598444452486,0.5510047059360514,0.11529017857142859,0.0,0.046304267624337904,0.47957916376406895,0.2245727959975193,0.594833563223268,0.14251690226039532
8,HBOS,0.006824005372558939,0.6167252322740182,0.14587832295404796,0.0,0.039605967720925526,0.8333066722205189,0.13712683464894296,0.6577096314767763,0.10458432178352339
9,OCSVM,0.039423134456849564,0.12148350673897934,0.032812838206582616,0.0,0.07158669078290489,0.5527049074797576,0.07215103128407732,0.011888866825469992,0.1341648010580251
10,Nu-OCSVM,0.0013730055339748596,0.11894202833503818,0.02430091041379846,0.0,0.06850275315022246,0.5467261787733786,0.060300062089054696,0.008438781116689885,0.1341648010580251
11,RED1,0.008097190691148528,0.6393750933696308,0.14642451124667852,0.0,0.04648822365660647,0.799239805683817,0.1743080931714297,0.6333027561435994,0.05458367069888704
12,RED2,0.010318693811257204,0.6236055822240787,0.16727672170307367,0.0,0.03576074874098359,0.617061230892627,0.17251247097741879,0.6483626302381768,0.1484575172708023
