,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.013626370712596392,0.6133512524169472,0.2792112813295079,0.01654528212464024,0.03691915583294599,0.5939693109835682,0.15964068938544745,0.6124225800707428,0.06184046944485185
1,KNN,0.043963458426658664,0.6854639985487586,0.22291618733510282,0.016750440386986906,0.058724004728808996,0.21205339475792817,0.29251911280592874,0.5706477215077391,0.060568696016227566
2,KthNN,0.02608244761788897,0.6932904741276971,0.22062183610790959,0.016113413586141583,0.05196698246339176,0.22751526512305723,0.25143186924947036,0.5590462098404624,0.05547564617394209
3,LOF,0.02452684008850946,0.2817790996863441,0.4312541271449291,0.01649413541151938,0.06707256887856738,0.019186730064601674,0.3009338095631548,0.09999602643717745,0.09188287871175879
4,CBLOF,0.0009966166720154967,0.08699977312388639,0.015114938947717036,0.01752023710139377,0.03103442120349171,0.012358679569415542,0.08525165362422983,0.007567293571310748,0.05885949988002765
5,uCBLOF,0.014654340122732347,0.722817727876917,0.18408371290475273,0.015470694444015668,0.043211905804223835,0.44788134224355625,0.23436100467752397,0.5845149952670009,0.05074227778006117
6,LOoP,0.022446736130423865,0.25944078484666144,0.5773769338602248,0.01752906457998251,0.08165543588249499,0.027753354349210287,0.28310242382916334,0.05543837490719638,0.10311215431572217
7,LDCOF,0.0035410643618356014,0.43659674313384556,0.26666666666666666,0.008293514186691695,0.039239978953755375,0.34724804674980575,0.20736661331183104,0.20675841086124586,0.05817073780217513
8,HBOS,0.006380762118888025,0.4864834381625695,0.23809717164188401,0.0166511502408691,0.03648742848685585,0.7287686735255742,0.11928808176745333,0.5660872103953712,0.14505654020649417
9,OCSVM,0.011647449363458821,0.6495743090805066,0.2307676150219702,0.016288455725221525,0.044331276442962,0.35775331623775186,0.2341344920985093,0.5360938298689973,0.04083370772192137
10,Nu-OCSVM,0.01294093511400838,0.6397001828017933,0.22937960870648377,0.012953718729875528,0.0440052203532423,0.37681910786233785,0.25497151195804124,0.5250320597344341,0.04083370772192137
