,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9333900829963823,0.8875635078418378,0.8267355134825014,0.4800758300955384,0.5802502417082681,0.8291267315819606,0.8155646258503402,0.9512780425941312,0.5747682321964362
1,KNN,0.9417201228224851,0.8906876203098867,0.8164084911072863,0.4561818420706872,0.6208228325262999,0.9305744715600028,0.8514013605442177,0.9557932828967508,0.735101341007899
2,KthNN,0.9352445809138722,0.8886048786645209,0.8043602983362019,0.45040073577716455,0.6050633781174342,0.9062784998090352,0.8452448979591837,0.9557932828967508,0.7187771722490968
3,LOF,0.8297814124585777,0.8076935214112152,0.8009179575444636,0.48227189969405176,0.6450063808304587,0.6496466705241811,0.718421768707483,0.8209701753618752,0.7402179903251486
4,CBLOF,0.5580214635332745,0.43914292025624035,0.5088927137119907,0.5468494847682865,0.4605244980145552,0.5475318913770792,0.4274421768707483,0.11756570603927055,0.6387104280203294
5,uCBLOF,0.9214422521509137,0.8681561425100192,0.8078026391279404,0.4571015635264748,0.576323402984595,0.7959890002234505,0.8450340136054423,0.9534700660340228,0.6593521523482947
6,LOoP,0.8946280363603197,0.8084824387011266,0.8014916810097532,0.5065318993186553,0.6694143545920553,0.6079085417448552,0.7468979591836735,0.7504263786242182,0.7829894066499296
7,LDCOF,0.8775119326300429,0.5993878001830288,0.5668387837062535,0.4670636484787057,0.5715638089741393,0.8436347061142115,0.8065578231292517,0.883226920890366,0.6110219827322271
8,HBOS,0.8588757486395281,0.8559752595537884,0.7969018932874353,0.4574581902134129,0.5713238303819481,0.8336077417309946,0.7276598639455782,0.9222350986137228,0.8269658930867676
9,OCSVM,0.931809199525735,0.8766764492410616,0.8100975329890993,0.4675657413142632,0.5733489182718059,0.777741835458406,0.8384625850340135,0.9557167534000963,0.502819178249954
10,Nu-OCSVM,0.9315051834736874,0.8734261100066267,0.8089500860585197,0.4206411772434634,0.571731475951478,0.7925023064828411,0.8373061224489795,0.9561485984169327,0.502819178249954
11,RED1,0.9267321314565409,0.8862065701031904,0.8158347676419966,0.4544550181128817,0.5767915593151643,0.7138316865007629,0.8147755102040816,0.9438109502776927,0.599946114751087
12,RED2,0.9223543003070562,0.8852914260468933,0.8341939185312679,0.45475533532293483,0.5761035388500847,0.9132959658908069,0.8247755102040816,0.9454180697074387,0.6889290306778519
