,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9333900829963823,0.8875635078418378,0.8267355134825014,0.4800758300955384,0.5803014066394561,0.8279654515495922,0.8155646258503402,0.9512780425941312,0.5747682321964362
1,KNN,0.9432402030827228,0.8924863517308846,0.823293172690763,0.45636954032697036,0.6182151786096887,0.953122586664771,0.8584489795918366,0.9556456902960598,0.7445937174698426
2,KthNN,0.9365214483324721,0.8914607592539998,0.8175559380378657,0.45074328509488143,0.6029906543933323,0.9414365088525372,0.8523945578231292,0.9556566230812962,0.7281017696405608
3,LOF,0.8960873134101481,0.8105651803464925,0.8078026391279404,0.4876400698237513,0.6459678295891985,0.5517007078309838,0.7019455782312924,0.8203798049591114,0.7168807788867798
4,CBLOF,0.5634025476545161,0.47732651708794843,0.2983362019506598,0.5348837209302325,0.4551080456045251,0.35473397800197565,0.35576870748299316,0.1746184457952508,0.5942918376094544
5,uCBLOF,0.9188885173137141,0.8956104641989334,0.8278829604130808,0.4538074591287047,0.5757548975496183,0.9121753502783704,0.8370204081632654,0.9498458477281673,0.684994182842447
6,LOoP,0.901924421609461,0.8043169554103947,0.8164084911072862,0.5039792030332038,0.6739544610909948,0.5371377242244013,0.7158775510204082,0.7451185113919622,0.7400875635294839
7,LDCOF,0.8382938619159093,0.8278266906497522,0.76592082616179,0.5044672184995401,0.5709653410876381,0.888700412529839,0.8380680272108842,0.8631433944111603,0.6082370950952176
8,HBOS,0.8570516523272428,0.8525671368613714,0.7928858290304074,0.45569382660435087,0.5696212991629708,0.7821037569490679,0.7207755102040816,0.9178510517339398,0.8261098524278979
9,OCSVM,0.9517222509348494,0.5658430370159993,0.3878370625358577,0.5454792874974191,0.5846272983487956,0.9124016034419018,0.5094897959183673,0.43318154983163515,0.6846763823403343
10,Nu-OCSVM,0.9515398413036209,0.4821862475938023,0.4394721744119334,0.5005912495072921,0.5841560592892749,0.9260514466061643,0.5096734693877552,0.4569302925613329,0.6846763823403343
11,RED1,0.9267321314565409,0.8862065701031904,0.8158347676419966,0.4544550181128817,0.5767915593151643,0.7138316865007629,0.8147755102040816,0.9438109502776927,0.599946114751087
12,RED2,0.9223543003070562,0.8852914260468933,0.8341939185312679,0.45475533532293483,0.5761035388500847,0.9132959658908069,0.8247755102040816,0.9454180697074387,0.6889290306778519
