,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.011820114103769,0.6306578560976172,0.43900956186670465,0.01903360916828177,0.034690850719183146,0.7124587516809663,0.1394587933954004,0.6146037296993012,0.09282460564536887
1,KNN,0.07137359284587151,0.7424341249672367,0.3826372501804031,0.01720271004850175,0.05906751145556649,0.4142435824526839,0.2984023962966861,0.6128028796938678,0.08871267441570475
2,KthNN,0.037536160801679944,0.752537679227504,0.37328942940812687,0.016219715752278298,0.04914251359393054,0.47405016325216653,0.26071600549840246,0.5487924126470605,0.08254701459185818
3,LOF,0.0339511760322716,0.3159142947801952,0.41829893632734333,0.016656949998671122,0.06631381103856836,0.01979239904932945,0.4274905037031204,0.231314957016003,0.08892107236068375
4,CBLOF,0.0018119775163372035,0.09760434432091311,0.02038835365121584,0.016567912833356485,0.03030089363816642,0.07205300145621596,0.07325860206822965,0.008224573718805073,0.041238970780858676
5,uCBLOF,0.019209634202607028,0.6389626149758519,0.41827560978636574,0.015565758608759953,0.0365578311478524,0.6013534936140698,0.2299500204223008,0.6459750776870531,0.0644568690081611
6,LOoP,0.029523515832859955,0.3048120875725143,0.5338124520421276,0.017441149954203504,0.07814009652337758,0.020046366255139343,0.37391997304564545,0.09321721291828562,0.08529884276954472
7,LDCOF,0.018018173680939317,0.5934027208364828,0.3767857142857143,0.014418876623738568,0.04033363871016614,0.3308852012197915,0.21177229502458386,0.501774386830263,0.0785133750672575
8,HBOS,0.004780510304844415,0.36717446823190514,0.4198663439734868,0.01673950476686112,0.03188666510725463,0.9326882037270288,0.10172236647806185,0.5736608699828274,0.12446280456458252
9,OCSVM,0.01189454972046061,0.6944650402075192,0.4574359552780269,0.013943973423850151,0.03727083668497126,0.5940154688301326,0.23629502022640092,0.5790680326641713,0.05511044351864325
10,Nu-OCSVM,0.01336483830012727,0.6802143575891759,0.45685925433754615,0.060816947389587796,0.03737072190527632,0.6268423350272389,0.2506210928788797,0.5508493166804722,0.05511044351864325
