,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.012866558223795406,0.5653206398526666,0.11266734649674764,0.016397564225402773,0.03487723249066223,0.09366576936858835,0.18476668105762264,0.42087950096591925,0.09323651147983052
1,KNN,0.03273323455458159,0.5752165688543464,0.10445813674177168,0.016643378925057083,0.05002250348075004,0.23463279956421226,0.23825539168862808,0.36635190091544917,0.10125462902273438
2,KthNN,0.021041430023868955,0.5634300363479607,0.10146975758437554,0.01604581691004048,0.04408605817868838,0.2340669183740824,0.2253075383746613,0.38081786887596797,0.09787680725686065
3,LOF,0.028676816483864078,0.3035044698640026,0.09716776302195354,0.015501941900940352,0.057179906385206494,0.09714919107295009,0.18024513635723768,0.07508871606216784,0.07188923222017025
4,CBLOF,0.0021315455102029154,0.08718352219435696,0.024259323930474953,0.01871951034889366,0.02954710279405427,0.0344514841841842,0.0628184614315426,0.010595005729068525,0.030842852448408745
5,uCBLOF,0.010150702085141522,0.5194805021379716,0.11352291780378337,0.015587733883682005,0.03746580014757912,0.21605558750610013,0.2512717320337401,0.44954303845043286,0.10759666235053018
6,LOoP,0.02602888955139209,0.31062142128678394,0.11813096300239695,0.01597696803348482,0.06885145126328288,0.08714212623181358,0.1747717410847752,0.04218683805097529,0.06350264834403212
7,LDCOF,0.008616158005652231,0.40085187238512,0.30327919284212723,0.015047529758747102,0.03783782082929817,0.19834025029740432,0.03125,0.2565636176224974,0.0555378967916775
8,HBOS,0.0058611739709160515,0.4305559587115629,0.07873567931003635,0.017162901269804628,0.03082090623394585,0.4640139489194316,0.10670375090299733,0.1764930256822897,0.0849427976562536
9,OCSVM,0.001012621585047109,0.16843627257545657,0.025901978915919117,0.34543133598236125,0.057360756092340495,0.2580754934269081,0.05188484258376134,0.014540650675281111,0.10185114213778029
10,Nu-OCSVM,0.000997528139600052,0.09931942768723168,0.020495209778208633,0.5081521739130435,0.05874813317187695,0.2647891757242599,0.07247185082159226,0.008324914249257378,0.10185114213778029
11,RED1,0.010356815505372664,0.4840208869398124,0.08072245151467028,0.01622167580625627,0.03510369025961324,0.09890091708783474,0.1754206472149949,0.4186896877902088,0.08490811407735084
12,RED2,0.010241275345653127,0.4838131481625325,0.08256771426080489,0.016198057640753646,0.03464660293566561,0.09881137532753473,0.17336432511318858,0.41471854887070153,0.07126077141680694
