,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9426321709786277,0.8829562308687556,0.8571428571428572,0.4595041012068998,0.5620614573959605,0.7472236214417677,0.7968707482993197,0.9498349149429308,0.6872947155716123
1,KNN,0.9477700422582312,0.8951371138249866,0.8600114744693058,0.46143270079020965,0.6459094390761255,0.9519559560508327,0.8451156462585033,0.9472821095902392,0.823780540077154
2,KthNN,0.9390751831696713,0.8919498879737449,0.8496844520940906,0.45251234116035066,0.6165893250424943,0.9460676410330494,0.8383673469387756,0.9483972536843487,0.8173828914334701
3,LOF,0.8868452254279026,0.804758749092745,0.8502581755593804,0.466148619479325,0.6747944140616631,0.6788042826054886,0.7468843537414966,0.8410701010189355,0.6590018982303595
4,CBLOF,0.563676162101359,0.37413613556754705,0.41193344807802634,0.5567130281359687,0.4874878029945936,0.5953531473012558,0.533891156462585,0.2684381423011326,0.35837731920886656
5,uCBLOF,0.903414100264494,0.8583104547319259,0.8646012621916237,0.45402331212343033,0.5686045844671082,0.9434468497431847,0.8574965986394558,0.9455929942712206,0.8157369420121241
6,LOoP,0.8822241814367798,0.8086402221591089,0.8577165806081468,0.48305553991403416,0.7052587645471329,0.6849401766762034,0.7574285714285715,0.732474745266104,0.6432729165390975
7,LDCOF,0.8488128173167543,0.8342642557354287,0.8537005163511188,0.4525217260731648,0.5591020515519323,0.9226887844421395,0.49952380952380954,0.9069729304237547,0.6595358520604985
8,HBOS,0.8443133797464507,0.824323897882546,0.8135398737808377,0.4656136794489179,0.5302544598858012,0.9578647561523407,0.6748707482993197,0.8057298727423798,0.8092988794317555
9,OCSVM,0.3256315933481288,0.5136167124238694,0.47045324153757884,0.5454792874974191,0.6074380697887429,0.9509181470579318,0.4442517006802721,0.45318308042156824,0.8037119588512645
10,Nu-OCSVM,0.3246283403763719,0.47193032282495506,0.39644291451520364,0.5005912495072921,0.619855594932652,0.9550106795060241,0.521578231292517,0.20506078628591418,0.8037119588512645
11,RED1,0.9118049433010061,0.8801476853166714,0.8026391279403329,0.4567637066651651,0.5614266244670366,0.784529379406427,0.7858367346938775,0.9363055932129268,0.7394978874533097
12,RED2,0.9118657465114157,0.8776547066805516,0.8089500860585197,0.4566323178857669,0.5585524051646563,0.8248702165482277,0.7890068027210884,0.9368249005116543,0.7443720531504501
