,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.013999322144319069,0.5749608789130776,0.36441264525436723,0.01550596510853349,0.037464177196073735,0.7294756608135681,0.1812052590676329,0.6395916091517152,0.049103459766129745
1,KNN,0.04177004667453562,0.7482252922035725,0.3787185442437543,0.015339508673223114,0.08659523091862846,0.21747210233927036,0.3024879446692919,0.5165637799330712,0.06256513501825371
2,KthNN,0.034101569573307455,0.7852270272554336,0.39022125394634877,0.015109876427551096,0.07165674887024649,0.20548793805834012,0.2597255620464416,0.48851127007149137,0.057561684452378095
3,LOF,0.04916560657722566,0.40418756954435053,0.40698332033735757,0.016848377055083054,0.10074377311339013,0.023339710055787315,0.4097758941314298,0.44114599113093406,0.10325764534860551
4,CBLOF,0.004453872309003973,0.2244577568408136,0.0175101360673368,0.0161275363367302,0.039055870413866565,0.012846795243922463,0.10152523125735671,0.011454389997991431,0.06240777951083719
5,uCBLOF,0.014401418819992214,0.7328931215130816,0.3905685722738843,0.015044798556278374,0.04588927500858195,0.892217962942926,0.24231681092756277,0.5812015081260327,0.04477447912943715
6,LOoP,0.038743031694169566,0.4001751838232321,0.2608030642580332,0.018169376090355557,0.12641816806751371,0.032605836141355315,0.417328022522481,0.21587246400745702,0.10519440401761736
7,LDCOF,0.02409300399808525,0.39426870080580334,0.22286086309523812,0.013021945124625905,0.04704232720203454,0.2595593114644712,0.1718245980415705,0.16551843724395687,0.03547009253494281
8,HBOS,0.010176468400252405,0.5098028637832316,0.24149033233606393,0.01641571574643457,0.04166258703778602,0.817268891997855,0.1642806848813599,0.5977065453948044,0.11550172194705823
9,OCSVM,0.005921148071612987,0.6735535998941101,0.3892505463723951,0.022337554153193117,0.04660336185345093,0.8932221184594323,0.17332056581599478,0.5669457608419474,0.03360462283269454
10,Nu-OCSVM,0.006620237202093655,0.6666956297197946,0.38972750775591475,0.01669459248826565,0.04625263469702645,0.8931954255443573,0.18330155146459567,0.5571983211946014,0.03360462283269454
