,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7715623384914724,0.8874688377670484,0.9036144578313253,0.5154663363177356,0.517863409943472,0.9240207989845106,0.8067755102040816,0.8652424891765427,0.53854264894985
1,KNN,0.8676314109384975,0.9057717188929912,0.9110728628800917,0.4943127428346191,0.5840680271516723,0.9238830852064828,0.8427074829931972,0.8527244500809025,0.536504806809136
2,KthNN,0.8550147447785242,0.9030262867240998,0.9070567986230638,0.4966214313869024,0.5707522422180205,0.9224126434752078,0.8280136054421768,0.8525003279835571,0.5356377441675342
3,LOF,0.9276441796126834,0.865284483574742,0.9070567986230637,0.4941813540552208,0.6215493522307686,0.5052308049797098,0.8550068027210884,0.8524839288057026,0.5532643438858613
4,CBLOF,0.48414556288572036,0.24882451323803212,0.2931726907630522,0.5223454774105148,0.5127198976121098,0.8353217368395439,0.45616326530612245,0.31910066908645646,0.47178494887024675
5,uCBLOF,0.8257684005715501,0.8820410868124585,0.9282845668387838,0.5116466768023725,0.5450496617869718,0.8677144634118316,0.8217414965986395,0.8453994839725368,0.5497679260302492
6,LOoP,0.933025263733925,0.8442361702799078,0.9139414802065405,0.4939138840400173,0.622261406822467,0.4844190809892053,0.8671292517006802,0.8481654786373376,0.5183797685383627
7,LDCOF,0.766515672027483,0.6215721543753354,0.6712564543889845,0.5368263978827637,0.5270033386094031,0.9207134516423356,0.7639931972789116,0.8048935146717978,0.5517935215234829
8,HBOS,0.7025810962818837,0.9131559847265613,0.8554216867469879,0.48592263077876,0.5220264749783958,0.9334774932882051,0.8147210884353742,0.8694734770630165,0.5541852917763762
9,OCSVM,0.7875231812239687,0.859919846003345,0.8984509466437177,0.5041105918126021,0.49601770005320706,0.9211507725093233,0.7994149659863946,0.842125114794245,0.5264723531933133
10,Nu-OCSVM,0.7805612136320796,0.8504528385244091,0.9030407343660355,0.5067008277493102,0.49219480927588394,0.9224624803206884,0.7932244897959183,0.8402064109852626,0.5264723531933133
11,RED1,0.7106983248715533,0.9023951528921708,0.8881239242685026,0.4804981511721756,0.5016989881730336,0.4866293807568118,0.7935102040816325,0.8580213845279223,0.5211842508113403
12,RED2,0.6833368801872739,0.9065290794913061,0.8542742398164084,0.47798299453798065,0.5028578152786407,0.6725562301534826,0.801156462585034,0.867877290418507,0.5655379339905701
