,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.017424261168252565,0.5200120690054283,0.11478683784133657,0.014500807646827013,0.03792639039784434,0.13201520267480066,0.25877082261898265,0.4373884596356722,0.035463974376709145
1,KNN,0.01811487776619968,0.5350006848091572,0.10980245571940171,0.015120072899825067,0.06434182026791407,0.3592522387995872,0.31547764709030784,0.4390541904375153,0.09708459206214064
2,KthNN,0.015319983556707058,0.5386800875937864,0.10776648156230252,0.014812074484964858,0.05735136446664024,0.31531283605440785,0.2944164308143071,0.4397597968502589,0.09098091021656177
3,LOF,0.03152827336636919,0.5400073573881977,0.10937218929183813,0.015282076537892077,0.06984079557680903,0.053679256474916774,0.30874788857836577,0.36698841027535845,0.09728699608277923
4,CBLOF,0.0011730360998834437,0.10592724544869203,0.034492481691456425,0.017052956160533195,0.030304968095910406,0.11367991808007034,0.04564389637583048,0.008011499428357714,0.09892995769250809
5,uCBLOF,0.014339717117745508,0.5447777787434578,0.11383785655297542,0.014627152241500897,0.047447322481893386,0.31001077742958355,0.28442347484631264,0.42947741602342715,0.07675324114740517
6,LOoP,0.02826958793561859,0.47485194881842424,0.10790190710782309,0.01576576959810713,0.08375895568586726,0.03511942890438566,0.3128324276707458,0.3401962269271468,0.09438150530934042
7,LDCOF,0.005881028567950787,0.4848871326698284,0.09387156069541915,0.015029994890651597,0.05064348902576968,0.2873417580175876,0.23869040410529538,0.22334338120418729,0.05083255757056292
8,HBOS,0.010627738002697977,0.49398377259547965,0.07777934148378823,0.015742301928068823,0.04142021436278519,0.2238520928216243,0.13332783826923614,0.46264555389661727,0.07629992535743893
9,OCSVM,0.022939237065549768,0.11595406812248141,0.025938556925011978,0.34543133598236125,0.07717589701357945,0.28477496527545404,0.07483807416845915,0.013224401164276593,0.09483819057358495
10,Nu-OCSVM,0.0016624752778791388,0.13154554875657298,0.031121493910561897,0.5081521739130435,0.07747502596855266,0.2959865293447137,0.05294397659023212,0.007909146260297687,0.09483819057358495
11,RED1,0.013118195852065855,0.49055398035254,0.0881182702762689,0.015873585495832076,0.050072432584568644,0.05236899035325629,0.1991557145692367,0.4767103084042679,0.04767199856152244
12,RED2,0.01374456021087151,0.4934753597223298,0.10074292750529537,0.015695336626335994,0.040544477431180566,0.2002763402709976,0.2168197225102502,0.46414027288544724,0.07111602391806687
