,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7568783631775757,0.9231278992710404,0.966150315547906,0.45989826754509444,0.5477061232538084,0.9936038128753847,0.7547619047619047,0.9341245025582717,0.6224517788255465
1,KNN,0.8875748639528167,0.9171636845593107,0.9139414802065404,0.49386695947594644,0.6156180980349095,0.925272503845412,0.8466122448979593,0.8676149035728341,0.5197354724144265
2,KthNN,0.8651688809169125,0.9141973555492442,0.9093516924842227,0.49571109484392895,0.5933053756320571,0.9179380795030176,0.8307346938775511,0.866980802029125,0.5213403955667136
3,LOF,0.9535159456419299,0.874751491053678,0.91508892713712,0.5011590367325487,0.6799495598588405,0.5405731797767381,0.869265306122449,0.8697030655529803,0.515291164043843
4,CBLOF,0.7383029823974706,0.25043390450945124,0.34825014343086635,0.5238846031120371,0.5396108351812968,0.29550181703202216,0.4246530612244898,0.2320538330345039,0.476747290429245
5,uCBLOF,0.82640683428085,0.8496323645429013,0.9323006310958118,0.5026277755879648,0.5498272779051414,0.9039038097924306,0.8442993197278911,0.8735514059561814,0.5220794807421468
6,LOoP,0.9650685556197367,0.8644324529016377,0.9242685025817556,0.49467875443437137,0.7077507952045794,0.5192345763753479,0.8779863945578231,0.8655404075742336,0.5061710856652991
7,LDCOF,0.7961268354969142,0.5217898955473508,0.5668387837062535,0.5651219100174559,0.532347842078575,0.9354976690573575,0.5271632653061223,0.798700091835396,0.499464209172739
8,HBOS,0.7695254309427537,0.8788854176528133,0.9621342512908777,0.4502036526080673,0.5391246985900128,0.9962185911307231,0.7493333333333334,0.9337527878602352,0.7251460412712021
9,OCSVM,0.9157875535828293,0.5211272050238254,0.5352839931153184,0.5454792874974191,0.5262732200629915,0.9679131738197572,0.5387482993197279,0.46004613635369745,0.5369738534076296
10,Nu-OCSVM,0.44450186969872013,0.46533497428129633,0.26965002868617327,0.5005912495072921,0.5387131612495447,0.9704218322072907,0.5213401360544218,0.27038964446582414,0.5369738534076296
