,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.6553978050041042,0.8978825459938781,0.9592656339644291,0.5049176943146199,0.5373798879527064,0.9910703889388701,0.7697687074829932,0.9383226920890365,0.5170699895903496
1,KNN,0.8919222934970966,0.869386853482281,0.8967297762478484,0.49670589560222983,0.5300184428095474,0.991590975046671,0.84,0.833127432544715,0.662086828730635
2,KthNN,0.8610646642142705,0.865142478462558,0.897877223178428,0.4960771064436811,0.5279956425556531,0.991472395967496,0.8260408163265306,0.830979140245769,0.6474030984018124
3,LOF,0.9649165475937129,0.8402284704471582,0.8967297762478486,0.507920866415151,0.5264781308697392,0.6480301833950051,0.8504353741496598,0.8462850395766827,0.6813189639336232
4,CBLOF,0.41972456145684495,0.5615828836504781,0.18244406196213422,0.49233252623083124,0.5293290832404888,0.8536090054874036,0.4505170068027211,0.35901080159181353,0.4901647174086094
5,uCBLOF,0.8008998875140607,0.8629492883966045,0.8548479632816983,0.5029187078852038,0.5272061291681843,0.9059861542236346,0.8423945578231292,0.8396707045086806,0.6239826097605781
6,LOoP,0.9652205636457605,0.8376408217362492,0.8967297762478486,0.5046830714942657,0.5338179550632414,0.6493277758626094,0.8497551020408164,0.8560042856518126,0.6793754209785072
7,LDCOF,0.8348888821329766,0.5118337593486698,0.5662650602409638,0.4996058336618053,0.5225285552764268,0.8874168334901564,0.76821768707483,0.8284536668561683,0.5074980099197844
8,HBOS,0.7817164746298604,0.8382088421849853,0.9581181870338497,0.4641684028755373,0.5158199651699055,0.9932575028530065,0.7502448979591836,0.950376087812131,0.662034780478844
9,OCSVM,0.9175204450795003,0.46861687020732745,0.40935169248422265,0.5454792874974191,0.5246580932766267,0.9210616980656628,0.49781632653061225,0.5043621813093104,0.6423464576572163
10,Nu-OCSVM,0.5312376493478855,0.5880905045914986,0.576592082616179,0.5005912495072921,0.5298125834708147,0.963820437539986,0.532374149659864,0.29685245113045,0.6423464576572163
