,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.715927400966771,0.8259332891539651,0.8594377510040161,0.4795971995420163,0.5281123677858004,0.8763045673328651,0.803891156462585,0.78755411728692,0.5044020574367768
1,KNN,0.8596965919800565,0.8502634983748304,0.882960413080895,0.4972126808941945,0.5281904821845607,0.9906966635556856,0.8377687074829931,0.80031267765776,0.6669365011328149
2,KthNN,0.8301462317210349,0.8460980150840985,0.8858290304073437,0.4968654391200706,0.5260363660467509,0.9903120076987224,0.8240068027210885,0.8005258669698693,0.6519288469781397
3,LOF,0.9441218496336607,0.8233140837514594,0.8841078600114745,0.5104266381365317,0.5217589889586414,0.6692524753446475,0.8424489795918367,0.8023571084969607,0.6945759598309963
4,CBLOF,0.4348341592436081,0.434314746441983,0.19850831899024668,0.5029187078852038,0.5255342020547211,0.8623112932686878,0.43673469387755104,0.4254056063322692,0.5355703876063928
5,uCBLOF,0.8238530994436506,0.8132790558237875,0.8118187033849684,0.5065506691442837,0.5266206338514773,0.865393788790124,0.8155238095238095,0.8025156338828879,0.6340762966138019
6,LOoP,0.9351533760982579,0.8151093439363817,0.8628800917957544,0.5082587232764607,0.5288634237808797,0.6696098177566439,0.8395918367346938,0.8088785148904535,0.6945226869144572
7,LDCOF,0.8188064329796615,0.7764208400391303,0.802065404475043,0.5018675976500178,0.5254531583660075,0.8789467099910899,0.780952380952381,0.8014168889666331,0.5788598371195885
8,HBOS,0.715684188125133,0.8403862539051405,0.812392426850258,0.49551401167483156,0.49843999966076036,0.7773644920629217,0.800625850340136,0.7822025189137185,0.5727107954197539
9,OCSVM,0.8791536193110995,0.5441951465808325,0.49971313826735514,0.5454792874974191,0.524268079242817,0.8965585823710567,0.44606802721088434,0.513321598810513,0.6454956830567633
10,Nu-OCSVM,0.5794241935974219,0.5826627536369087,0.41939185312679284,0.5005912495072921,0.5295194312914676,0.9496649389383988,0.5090340136054422,0.3430544015393362,0.6454956830567633
11,RED1,0.7323138661721339,0.8434472529899966,0.8565691336775674,0.4953544681569908,0.4924385819960148,0.5708042204368265,0.7959591836734695,0.7552641360913106,0.5015883901781887
12,RED2,0.7155321800991092,0.8404809239799298,0.8600114744693058,0.4943408975730616,0.4925148830248038,0.8654622252763002,0.7984897959183674,0.786570166615647,0.5974184067111628
