,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9293466695041499,0.9226229922054971,0.951233505450373,0.4800664451827243,0.5688388300203902,0.9750836920133907,0.7852108843537415,0.9596306905147155,0.6508903312718142
1,KNN,0.9468579941020886,0.9009751017703304,0.8462421113023522,0.47078007395311294,0.6198340716259936,0.95166034915857,0.8602857142857142,0.9571653474439148,0.750770926458882
2,KthNN,0.9360958258596054,0.9013537820694879,0.8364888123924268,0.45586275503500573,0.6030476779044273,0.9502419099843635,0.851843537414966,0.9577721170245331,0.7425975139305616
3,LOF,0.8813729364910468,0.8386190791757392,0.8410786001147446,0.49458490530622967,0.652210997369107,0.5083734308464085,0.7239591836734695,0.8519974198626842,0.6668115853285164
4,CBLOF,0.5360411029702368,0.47391839439553163,0.41308089500860584,0.5389567730915779,0.4581119348088474,0.30986063773326944,0.48382312925170073,0.17767962566143353,0.5478513256995897
5,uCBLOF,0.9282522117167787,0.8815361797469153,0.8433734939759036,0.4487114514706158,0.5774029997714596,0.9216026673413495,0.8496734693877551,0.9519777408492587,0.7157712326250689
6,LOoP,0.9163955856869243,0.8330019880715706,0.8588640275387265,0.5318242393528164,0.6841656310929232,0.487948706777174,0.7456326530612245,0.7815465517995364,0.6709791194660462
7,LDCOF,0.8436141428267412,0.5228628230616302,0.5502008032128514,0.42059425267939266,0.5639849826184303,0.9245192438761957,0.7697006802721088,0.8913554467136048,0.7092927561080156
8,HBOS,0.8622807284224608,0.8466975922244312,0.9569707401032702,0.4479418886198547,0.5584379117744734,0.993442709412208,0.710625850340136,0.9446637075261293,0.7984361031167718
9,OCSVM,0.9583498008694858,0.6956357095522107,0.5157773952954675,0.5082868780149032,0.5836777759848664,0.9205852415163344,0.528734693877551,0.472132330432501,0.6569285408119527
10,Nu-OCSVM,0.5516675280454808,0.4812395468459087,0.36947791164658633,0.5135705839292752,0.5823752462835401,0.9400619699261645,0.5170340136054422,0.5131029431057856,0.6569285408119527
