,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7890128598790017,0.9058663889677805,0.9684452094090649,0.4723614317622989,0.5574699767308365,0.9830208721091254,0.7706938775510204,0.9588380635850791,0.6620886657277572
1,KNN,0.9781412458577813,0.9565779923632807,0.9500860585197934,0.4717936445370423,0.6603716504545811,0.9639782032594214,0.8857006802721089,0.9582968907158788,0.8183197599657093
2,KthNN,0.9683215273766455,0.9591025276909969,0.9500860585197934,0.4585374551870413,0.6275130378511131,0.9692080400386567,0.8658775510204082,0.9555582280141689,0.8054393484783541
3,LOF,0.9629708448606087,0.8208842184985325,0.9661503155479059,0.49513861516226515,0.6987008096892208,0.511238769192982,0.904625850340136,0.9498567805134035,0.7619263976486437
4,CBLOF,0.1911044903170887,0.3917132127867714,0.36833046471600683,0.426253355106331,0.49385599565951765,0.25516673813514906,0.6085442176870749,0.1243713648489089,0.4681305492621395
5,uCBLOF,0.9228407259903323,0.9520338287733914,0.9254159495123351,0.4443850066632881,0.5647663776880281,0.9810264810473484,0.8718367346938776,0.9474898325097303,0.7873639091298756
6,LOoP,0.9617851822576232,0.8195588374514816,0.97877223178428,0.5260149783208514,0.7272463636631457,0.519840211251152,0.8942993197278911,0.8759402195303275,0.7306729532790398
7,LDCOF,0.8485696044751162,0.8371359146707059,0.7561675272518645,0.410111305065976,0.556951171582071,0.949902249970508,0.8154013605442177,0.9666331394586085,0.68
8,HBOS,0.7984069558872708,0.811164757486825,0.9661503155479059,0.44828913039397866,0.537056954658832,0.9950161880571452,0.6799999999999999,0.9155879651900118,0.8667430041026268
9,OCSVM,0.8890645426078497,0.9425037079112625,0.9598393574297188,0.523058730784391,0.5651048083206565,0.9619954815612588,0.8614557823129252,0.958930992259588,0.6416471740860938
10,Nu-OCSVM,0.8915574742346395,0.9374861939474266,0.9586919104991394,0.40792462038027666,0.5636935322170562,0.9734452674997777,0.8348979591836735,0.9576846547426422,0.6416471740860938
