,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8939592010458153,0.8696393070150525,0.8416523235800344,0.5204028004579838,0.5596844501906884,0.5521709984720268,0.7968707482993197,0.9478615472077666,0.7201922723654399
1,KNN,0.9223543003070562,0.8839344883082456,0.8387837062535858,0.4889445727049196,0.6506396843910469,0.8085100490291625,0.8468299319727892,0.9417883850089649,0.8610948502847345
2,KthNN,0.9115009272489587,0.8818675250086782,0.8307515777395296,0.48723651857274247,0.6197574637192095,0.7732601628564156,0.8409795918367348,0.9416544583898194,0.8542906129447063
3,LOF,0.8717356276411394,0.7822903846760705,0.8399311531841651,0.48537830583553876,0.6769132531790328,0.6871708596116957,0.7557414965986394,0.85002405212752,0.7222705284428388
4,CBLOF,0.6020429878697595,0.4010224368077251,0.40963855421686746,0.4783677759633613,0.48261120477399494,0.42751855059369803,0.49395918367346936,0.14881160624480694,0.5243083705835527
5,uCBLOF,0.9016508071626181,0.8802423553914608,0.831899024670109,0.4913846500366012,0.5679857231429306,0.618286504279064,0.8351564625850341,0.9405967114182009,0.8501794133855858
6,LOoP,0.8624023348432797,0.7874341254062924,0.8439472174411933,0.4926328434408844,0.7087732568883508,0.7352021895598944,0.7528571428571429,0.7430959461232344,0.6884893760333108
7,LDCOF,0.8451646246921838,0.8002461421944523,0.8244406196213424,0.49538262289543333,0.5595906571161772,0.5814049455170662,0.7850748299319728,0.9028075392486989,0.7297360847468005
8,HBOS,0.7889824582737968,0.8188645902363597,0.8003442340791739,0.49258591887681363,0.5317154502246124,0.7868964766929942,0.6769795918367347,0.8148314164516551,0.8808413446818933
9,OCSVM,0.8922567111543489,0.8631701852377798,0.8123924268502581,0.5049552339658765,0.5662809879819881,0.600634528016282,0.8490068027210885,0.9485065815367122,0.6487502296246402
10,Nu-OCSVM,0.8947192411759339,0.8598882893117487,0.8301778542742397,0.505452634345027,0.5645545481773901,0.5931924805474511,0.854625850340136,0.9478943455634757,0.6487502296246402
11,RED1,0.8423980786185511,0.8711224715200858,0.7710843373493976,0.493252247686619,0.560497230509788,0.5389805919119081,0.7858367346938775,0.9354856343201994,0.7637891127303901
12,RED2,0.8482655884230687,0.868345482659598,0.7728055077452668,0.4935056403326013,0.5551405356148094,0.5444858817261587,0.7890068027210884,0.9358464162329996,0.82330537015492
