,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.006767285617424323,0.48130752202641086,0.2079661889255715,0.016686613875393847,0.04142900184018041,0.022331016108311553,0.23664640900925135,0.44947345390641574,0.05478392301235045
1,KNN,0.007564288713707701,0.46943870160715767,0.20869556485440482,0.01512847382958641,0.06803250751208093,0.08668388883214251,0.27265795572169327,0.3414470117578694,0.0797331929803302
2,KthNN,0.007366217917594961,0.4539927963228165,0.20820105133677702,0.015482679285084861,0.061368485899007466,0.07130323478047869,0.2509132082758053,0.3463493649530559,0.07554575655739623
3,LOF,0.004903394567172415,0.4420282109227692,0.0961349803189338,0.015050289270401347,0.05913410954052842,0.05824885929696212,0.19628417553809066,0.3506802533803139,0.07418315945744526
4,CBLOF,0.000985173020046372,0.10328302686265571,0.027661701744786667,0.016450108054011876,0.032732352748101955,0.04460219015924883,0.0487405627411885,0.01002582556106612,0.1547122031230417
5,uCBLOF,0.00606836779338225,0.4414247500578153,0.19683497195847238,0.016864069830183872,0.05384638489000999,0.024366774624844614,0.23500500550168157,0.3304898164483439,0.060107547103727704
6,LOoP,0.005331519428135298,0.40880725039029564,0.07713042833356629,0.014688033480722527,0.06859324539283088,0.043469101291882105,0.20082875511424614,0.3199204671169265,0.09047995342118823
7,LDCOF,0.002579439761616659,0.4242767055424804,0.11886160714285714,0.015324398904282438,0.04466434371863869,0.07610268678833432,0.18657207615593832,0.05646818289221058,0.06906099606301033
8,HBOS,0.007142592969068159,0.4909385867656922,0.0951828760632788,0.016612505969611713,0.06146720703765599,0.01585981717077665,0.19478820183725962,0.46317581641960276,0.10346801252494012
9,OCSVM,0.004510251665873134,0.4269863743497564,0.20303485183804446,0.01566794163244158,0.05374167003983095,0.018834385947041184,0.2056651557509379,0.30212401732913097,0.029113235046108518
10,Nu-OCSVM,0.004425719527533088,0.4244650685959855,0.20490774789651955,0.0157144914268859,0.05305646425575247,0.01830246662022609,0.2094114631203591,0.305744375799036,0.029113235046108518
11,RED1,0.005566775788004683,0.49144945960538444,0.20506616657051438,0.0157302327062135,0.05591052359479182,0.019065316507553713,0.22402033798433238,0.40935304237755027,0.03619210264354991
12,RED2,0.0065910093614854025,0.48324930937629235,0.09947562881265502,0.016570132238729246,0.04718201060443543,0.02456436500040591,0.25948084949137457,0.43658636313037535,0.06682656053232125
