,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0039356379338041725,0.5620383909677867,0.4108854083073035,0.02726774107654377,0.0373094197315255,0.39347029780441534,0.1812052590676329,0.640037539184492,0.06050793544456995
1,KNN,0.008523579256611584,0.45919288515053336,0.21461135657040709,0.01566432907601225,0.06400697112805889,0.23146016502158817,0.29091802278389134,0.39034857197866385,0.06994382444329048
2,KthNN,0.007605585291151689,0.45395835722501027,0.21568938514923006,0.01575170112224138,0.05945418841488081,0.21048686307710318,0.27278887483861014,0.3913604824932915,0.06111364245539101
3,LOF,0.006792495817625395,0.41512071294447794,0.21883765821362192,0.013433988407247705,0.06514659885676242,0.02490601728834966,0.21720153729835,0.3460800384645965,0.09373040840013723
4,CBLOF,0.0009535095455363603,0.09106100124640222,0.07520281472183896,0.015741843117739473,0.031617351657643074,0.08232437470847218,0.040967749735256076,0.00798891805235885,0.06602835667464413
5,uCBLOF,0.00576688407378848,0.45187837936186015,0.21398188635755777,0.01555229253127052,0.05350194216778137,0.23863345580989143,0.25936219254284454,0.3809994109046643,0.050750736862701734
6,LOoP,0.008752230145968536,0.42336636429697067,0.22126625427828667,0.013289114370351521,0.07451274287376203,0.02398469451343857,0.22744126745303406,0.32911416854026115,0.09636299623944185
7,LDCOF,0.005387470258423861,0.4194801572935512,0.20814732142857142,0.0170881617471098,0.3474556556933858,0.11408105680544436,0.15607142857142858,0.1312289302283718,0.5208286363502228
8,HBOS,0.006094772431153276,0.47539033620045,0.2895577895189696,0.016822031829914152,0.036173825857269165,0.9269070819997202,0.1463568782274674,0.6022726895485068,0.1384499390301383
9,OCSVM,0.011005022495996795,0.48435454925554955,0.03125712712015035,0.021450148563074416,0.07340731407825193,0.06529210825996384,0.05440723167763359,0.4685003887559387,0.06022819390269538
10,Nu-OCSVM,0.01114273452900909,0.14238751930253457,0.1372236757485664,0.013967989313915128,0.0729091912835022,0.07411352255611155,0.06390398107878673,0.020369043630358137,0.06022819390269538
