,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.826893259964126,0.9082331408375146,0.9621342512908778,0.4599170373707228,0.5598830142025368,0.9783224499956304,0.7668707482993197,0.9627520006996984,0.6265721633702774
1,KNN,0.9773812057276625,0.9688535453943008,0.9575444635685599,0.4691611764926704,0.675508379666331,0.9655895945966259,0.8987210884353741,0.9683823850964272,0.7833996693405181
2,KthNN,0.9719393183960113,0.9750702136388021,0.9592656339644292,0.45590029468626236,0.6437331440286675,0.9598611090940268,0.8739455782312925,0.968797830935409,0.7771324474924989
3,LOF,0.968260724166236,0.8408911609706838,0.9667240390131957,0.4956923250183006,0.742904297251623,0.5118090647514641,0.9061904761904763,0.9766147723794114,0.7330273712571184
4,CBLOF,0.5674459611467486,0.3704440026507621,0.22317842799770504,0.5972933911443963,0.5203481313250345,0.10253431570010958,0.6072925170068026,0.129679232081165,0.6798285469352765
5,uCBLOF,0.9368558659897243,0.9826122629303544,0.946643717728055,0.44864575708091675,0.5693705519429506,0.9835946073271884,0.8715918367346939,0.9697271176805002,0.7521119343579695
6,LOoP,0.9702368285045451,0.8690712865663164,0.9638554216867471,0.5336449124387636,0.75893144691524,0.4805609549717986,0.9131836734693878,0.9640694013206805,0.7201200171453064
7,LDCOF,0.9158483567932387,0.8479283031966929,0.5651176133103843,0.42851511909454354,0.5824739912529728,0.9778223999294742,0.8396462585034015,0.8990575939126252,0.655586308248117
8,HBOS,0.8686650655154592,0.8494430243933226,0.9477911646586346,0.44880530059875745,0.5555187348458066,0.9961183059447254,0.723578231292517,0.949780251016749,0.8353536219459923
9,OCSVM,0.8171647462986046,0.9476790053330808,0.9644291451520367,0.4604989019652007,0.5555067805529964,0.9842579265681091,0.7951428571428572,0.9471673153452573,0.49412650786847107
10,Nu-OCSVM,0.7995622168850515,0.9475843352582916,0.9609868043602984,0.5451883552001802,0.553480855723152,0.983274897338901,0.7929795918367347,0.9452322123584204,0.49412650786847107
