,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.826893259964126,0.9082331408375146,0.9621342512908778,0.4599170373707228,0.5598830142025368,0.9783224499956304,0.7668707482993197,0.9627520006996984,0.6265721633702774
1,KNN,0.9201653847323139,0.8883524251317492,0.8514056224899599,0.4695928824821218,0.6507336448535556,0.9699335534205888,0.8718367346938776,0.9523767875103861,0.8144510440266977
2,KthNN,0.9048429757091175,0.8848654107103411,0.8479632816982215,0.472305122285414,0.6235395118251809,0.9708034815469907,0.8620136054421769,0.9522428608912407,0.8031871900067357
3,LOF,0.9185236980512571,0.8904667234687115,0.8577165806081469,0.45666985753702344,0.7021631606692662,0.5079984569941911,0.8274149659863945,0.9524423842218044,0.7710881146286205
4,CBLOF,0.5216307421031829,0.3380983937643977,0.40504876649454963,0.5464928580813484,0.4668105310707833,0.7485091623613594,0.435374149659864,0.14012004198189532,0.5730708468556732
5,uCBLOF,0.89398960265102,0.8984505664426141,0.831899024670109,0.4817275747508306,0.5826379477963706,0.9145340395081846,0.8588571428571429,0.952759434993659,0.7665886963443757
6,LOoP,0.9014683975313897,0.8885102085897314,0.8703384968445209,0.4548491844510764,0.7243320828334011,0.5244606677474841,0.8381496598639456,0.9460412384659116,0.7361423060437206
7,LDCOF,0.7843310126774694,0.5069582504970179,0.5628227194492254,0.4811363252435385,0.5004734848484849,0.8944179675586595,0.505734693877551,0.8838118249005117,0.5028571428571429
8,HBOS,0.8551363511993434,0.8363785540723911,0.9541021227768216,0.44839236443493435,0.5496235248653756,0.9971910720705502,0.7030612244897959,0.9460193728954388,0.8321437756414182
9,OCSVM,0.9314747818684826,0.47537000220896836,0.5731497418244407,0.48980329222741525,0.5928338017965419,0.8266165189778759,0.46555102040816326,0.5275232868325536,0.789808339966934
10,Nu-OCSVM,0.726719970814459,0.5185395563129162,0.5851979345955249,0.38785967678360267,0.5942071366207443,0.9008847823599988,0.4969863945578231,0.2940263261468492,0.789808339966934
