,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.015094198980045437,0.5376021671543777,0.08946905071475805,0.0,0.03881541292163974,0.12474211370303985,0.2021845025883519,0.4209375303206744,0.06374461392065295
1,KNN,0.020513149892822952,0.5565812054769724,0.10301782300690872,0.0,0.04735618539055929,0.20687719492503648,0.2668738583368832,0.45950148352709075,0.12249515429993862
2,KthNN,0.015202206148161071,0.5694076703276437,0.09964434641846986,0.0,0.04377720894143796,0.17303902188334652,0.2475576297888349,0.4549379287315117,0.12809719603554343
3,LOF,0.018248906768233666,0.34105463206880265,0.0982758639785274,0.0,0.054306621973809116,0.019772323808372363,0.13296391651229233,0.07580078904723718,0.1335139034913657
4,CBLOF,0.0016270245168743434,0.09762402729656286,0.019232266809302175,0.0,0.0289799939953629,0.019325636912030972,0.04414478394397799,0.008059256285883573,0.1529413578686718
5,uCBLOF,0.00895307127937519,0.5431605107869922,0.09276819541314352,0.0,0.03982989224304447,0.10327387933284915,0.22988529994502901,0.4237616395146269,0.1398128659829222
6,LOoP,0.01565939234425091,0.3209798651344919,0.09962849619156407,0.0,0.06593997747217673,0.019898964779739233,0.14374380708240578,0.036593944041611384,0.1269293268239724
7,LDCOF,0.009683121634924569,0.3909834798293497,0.20057197470416893,0.0,0.037595831514876686,0.2843028516034354,0.14211847931250696,0.2859239547583743,0.17653390781899747
8,HBOS,0.006175701180206628,0.4601729605493999,0.083769575888261,0.0,0.03769854810847284,0.043435920067537825,0.13014500708757099,0.38933128403449524,0.12399698045798424
9,OCSVM,0.02962702693024313,0.12626136637283658,0.02108037334599208,0.0,0.055671851733383314,0.1859359382246724,0.06622364974675062,0.011810120316641335,0.09843970155369247
10,Nu-OCSVM,0.02962243994767435,0.0977456780401852,0.04018064938926032,0.0,0.05483716080147716,0.19216745992716752,0.059654423471343865,0.013486892313783702,0.09843970155369247
11,RED1,0.01182713161205369,0.4996061694081368,0.08509564163490392,0.0,0.04168084379224464,0.04215683895084692,0.1951423200757151,0.45332721781917695,0.059304109613906274
12,RED2,0.011649156552362419,0.5161949953783632,0.0911821482825034,0.0,0.038423600098678644,0.27125107598110665,0.2036748931602888,0.4197545480907765,0.1568042442559275
