,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.005157358284669641,0.5677191357922037,0.40003920162364026,0.017865324513242926,0.03693260276314395,0.5105028198600784,0.15964068938544745,0.6497627783852152,0.12653871823695162
1,KNN,0.013713602417336707,0.5489893316389319,0.1024764312437975,0.01758610294145638,0.04771216181305146,0.28827963978684823,0.2803012429714012,0.44756974907455943,0.11433715548846218
2,KthNN,0.009764256280201578,0.5556282925437404,0.09844228708254742,0.016088130216189756,0.04391262340116211,0.2613905360182279,0.24853421844517654,0.4251780472052368,0.11774470407608845
3,LOF,0.004382917989552858,0.3568618141531166,0.09913944344276336,0.019436224485732432,0.05654439197562757,0.03328741936758915,0.15674321685012851,0.13268452915415188,0.06052166888438722
4,CBLOF,0.0014206251085860273,0.0818121530327104,0.016291473075091545,0.0210626279922018,0.028549316677356936,0.3354163861154099,0.055844847470042966,0.007880666023926374,0.06426790457971235
5,uCBLOF,0.0070695374832134665,0.5337581374967499,0.08987725250111579,0.016276493032429985,0.04046283179978091,0.18963460602373408,0.2450251369194864,0.4223385296493631,0.13963997757605717
6,LOoP,0.007704048465730331,0.35199243379710976,0.11883291871055579,0.02136956296380236,0.06832316288822633,0.02497147970207458,0.17157537092834702,0.04704914178699388,0.05992625675820661
7,LDCOF,0.005403161376486506,0.387688129825939,0.05018028846153847,0.014095897278795918,0.037923298969235755,0.06087540998000019,0.19380148143988885,0.3628628569936296,0.1421919599004014
8,HBOS,0.004026750012453252,0.42904621263492704,0.24882315732069424,0.016344119914074362,0.03625195319324986,0.8688632800912439,0.11716199703928741,0.5855578487851149,0.16409274826820772
9,OCSVM,0.02269969010834899,0.11075954318064554,0.02261212194840964,0.018101135061690865,0.055899182501223534,0.04328986163660371,0.07118040198164996,0.01394261520220546,0.10025410967349054
10,Nu-OCSVM,0.02270893858070706,0.08657057311614778,0.033064871094385447,0.020224264812051404,0.05552789690752303,0.059721376178791,0.06151800343073849,0.015679636549040435,0.10025410967349054
