,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.018518274398221814,0.4072211072823795,0.07905510285513004,0.01642901698069864,0.042420374660986776,0.09384528725879071,0.19281990855088996,0.29578425463947294,0.04683989450133275
1,KNN,0.025491862973558516,0.4354177061865361,0.0846852290003988,0.015385145631994746,0.051200266551679474,0.2056366748788515,0.2322872433151086,0.31884335199353886,0.07704660335102773
2,KthNN,0.024637290653098484,0.4213645645018473,0.08327591761548268,0.015141081789155846,0.04811714673323311,0.16961041183564846,0.21980758314256493,0.31334342715439994,0.07084020657251182
3,LOF,0.006617340148038721,0.33138693685208953,0.08914183399631705,0.016043012873535004,0.050124375705020034,0.0367751989212758,0.09126526691702172,0.1788392557313654,0.07139576726041998
4,CBLOF,0.0014793472070419751,0.1371725693763927,0.02192366949620225,0.0172552442861596,0.027549775189904487,0.04103885749394842,0.052310067344590754,0.008722350921797252,0.08015122536476932
5,uCBLOF,0.011679652998816983,0.4370946167442048,0.08956679535516411,0.015483655662237486,0.04295978146659557,0.12392840180646869,0.18724039400252954,0.3196738729762421,0.10574267586649946
6,LOoP,0.007260931892919861,0.3132862278032606,0.0898320607063969,0.015989707892394095,0.057493078096982,0.035163628859885915,0.09794325858046225,0.1446156595160541,0.0812757271297067
7,LDCOF,0.0095678715379235,0.3432378182729241,0.11156952104677138,0.014672991161359897,0.04113051371814406,0.08508188670195051,0.12655540021352846,0.06999312029864811,0.04781148356806676
8,HBOS,0.010420104581834025,0.32544967876806713,0.04868701089570493,0.015706310777032016,0.03963427724628617,0.10957948406314397,0.15743637958490403,0.13786357593742077,0.11815243171513573
9,OCSVM,0.03302114719559171,0.1438680804945624,0.02615625244387343,0.34543133598236125,0.060941893906387296,0.18226659538777656,0.06577530672523649,0.0156781237841062,0.07126748866299461
10,Nu-OCSVM,0.03299887227863561,0.12566889580616988,0.021210791018899843,0.5081521739130435,0.06001957727230301,0.19079077852256932,0.09363801118265855,0.016634188238813078,0.07126748866299461
11,RED1,0.01765086350452818,0.3874114582535549,0.05852364134138778,0.01536206465622999,0.04777909701904596,0.11309420872203102,0.19334027592124292,0.2859925099786154,0.0413874794003799
12,RED2,0.018924829007004443,0.3956261895819395,0.06393414225910324,0.015379114350548135,0.0415458084745745,0.125511185051141,0.1984800379999764,0.26538442026329073,0.08592986382776291
