,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9141458669017724,0.8939064028527249,0.9506597819850833,0.47130093661429884,0.5778163783798984,0.9606488930538495,0.7685442176870748,0.9667042025626449,0.5490839507684772
1,KNN,0.9430577934514943,0.8431632427656285,0.7716580608146872,0.45605045329128885,0.6263612270923946,0.9604627182941735,0.8540816326530611,0.9420453054620195,0.7096013716245178
2,KthNN,0.9369166692001338,0.8398182334564045,0.7613310384394721,0.4544831728513242,0.6114137997566402,0.9460176513138098,0.8480272108843537,0.9421163685660559,0.6930861551650236
3,LOF,0.814246192198948,0.8214522389472687,0.7848537005163511,0.47036244533288285,0.6423144470571851,0.5736791133933465,0.7017278911564625,0.9337363886823807,0.6882309717714776
4,CBLOF,0.44076247225853527,0.4441919909116728,0.5496270797475616,0.5138052067496293,0.44882170567030194,0.6444880983956662,0.45789115646258505,0.2126700048104255,0.5643328638785132
5,uCBLOF,0.9385583558811906,0.8478651898134999,0.7785427423981641,0.4574488053005987,0.5908100809086624,0.8322648731517243,0.8287482993197278,0.9463090917042026,0.6523213520298818
6,LOoP,0.8500592831301492,0.8331913282211493,0.8462421113023523,0.47438857293015746,0.6662074934919547,0.5703249357229541,0.6845850340136054,0.9168179035291031,0.723643989957749
7,LDCOF,0.9758915270726294,0.540818580580012,0.5616752725186459,0.4996058336618053,0.5864040940425942,0.8723397099526169,0.7193061224489796,0.8491220973455197,0.5724817831118731
8,HBOS,0.9229319308059465,0.8094291394490201,0.9426276534710271,0.4600953507141919,0.5645254924108514,0.9944647469289573,0.7281768707482993,0.9479052783487121,0.8036690955850835
9,OCSVM,0.9466907852734624,0.565969263782385,0.43115318416523235,0.5454792874974191,0.5992138511112779,0.8348021953690972,0.4672517006802721,0.4935933878514891,0.6679774661686364
10,Nu-OCSVM,0.594168972121728,0.5616144403420746,0.4991394148020654,0.5005912495072921,0.597768204672223,0.900525758336652,0.5249795918367348,0.564317575545546,0.6679774661686364
