,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9168212081597908,0.8972514121619489,0.9627079747561675,0.4838204103083882,0.5663717680725473,0.9891578108171943,0.7701496598639456,0.9640530021428259,0.6737431878023392
1,KNN,0.9711488766606877,0.9430401716684021,0.9449225473321858,0.45912401223792626,0.6595572799495069,0.9901196160728414,0.8718503401360544,0.963342371102462,0.7840462923274754
2,KthNN,0.9572553430821148,0.9492568399129035,0.942627653471027,0.4529909717138728,0.6274821268676036,0.9918100431435227,0.8520136054421769,0.9626754712030438,0.7696858734921317
3,LOF,0.8999483172711519,0.8315188235665372,0.9506597819850832,0.47782345102014,0.6975029253842335,0.48881822724021845,0.8527755102040817,0.9676881532339179,0.7378054007715389
4,CBLOF,0.5137871279603563,0.47290858026444504,0.22776821572002295,0.5053587852168853,0.4748570115930695,0.4340879436874221,0.6410612244897959,0.11700266759959765,0.4877827444737004
5,uCBLOF,0.9391055847748762,0.9483416958566064,0.942627653471027,0.4514424610995364,0.5760075418336084,0.9718661325257523,0.8710884353741497,0.9696943193247912,0.7642018247504746
6,LOoP,0.9197093606542426,0.8361576572312158,0.9558232931726908,0.49302231732267204,0.7203582359804741,0.45813985248191824,0.8499591836734695,0.9327579044037259,0.7342808156267222
7,LDCOF,0.9423585565317848,0.8337909053614818,0.9460699942627654,0.4556469020402801,0.5513548049728966,0.9100014854233596,0.804625850340136,0.9512780425941313,0.6588255465066437
8,HBOS,0.8565652266439668,0.7986051942314368,0.9541021227768215,0.45390130825684627,0.5378768908148179,0.9975981239332279,0.6853333333333333,0.9225138846372501,0.8157393913416203
9,OCSVM,0.9402608457726568,0.920382467102149,0.9500860585197934,0.5120689978790096,0.5830712874234926,0.9707430199752498,0.847673469387755,0.9662067608343902,0.6208952299308064
10,Nu-OCSVM,0.9397744200893806,0.9144182523904194,0.9495123350545037,0.461212155339077,0.5814642231589998,0.9795751994938858,0.8332653061224491,0.9661684960860628,0.6208952299308064
