,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9615419694159851,0.8300987724446969,0.8198508318990247,0.4718171068190777,0.5717275981295395,0.8691311954957275,0.8181360544217686,0.9324845847728167,0.6550045924928051
1,KNN,0.9403216489830662,0.8412698412698413,0.7647733792312106,0.45546858869681106,0.6498535745595241,0.964164097750539,0.8311428571428572,0.9285651812655792,0.7931431020758068
2,KthNN,0.9436962271607942,0.8379879453438102,0.7630522088353413,0.45102952493571336,0.6210154682132425,0.9401770583878392,0.8192653061224491,0.9301723006953252,0.7870901965586921
3,LOF,0.795153984130362,0.8075357379532331,0.7705106138841078,0.46212249188205035,0.673310477618216,0.6570384225262542,0.7266530612244899,0.9174301395023396,0.7043989957749066
4,CBLOF,0.25212051196303165,0.5295212849884818,0.5519219736087206,0.5413030012951179,0.46483334404616516,0.8183293089316239,0.4851700680272108,0.4458389819390388,0.5273492131528994
5,uCBLOF,0.9414465083756423,0.8360629871564265,0.8095238095238094,0.44333389642810217,0.5806531725158728,0.8437095123403521,0.8201224489795917,0.9199009489657586,0.7473492131528994
6,LOoP,0.8200528987930562,0.8097447063649846,0.8164084911072863,0.4724271261519981,0.6972070113029303,0.6408302115237768,0.7128571428571429,0.8982922989460795,0.6873694201212418
7,LDCOF,0.8541634998327912,0.7344819969074443,0.8514056224899599,0.4832385457139103,0.5437544971575285,0.8479373890232055,0.7103809523809524,0.880154808238947,0.7140236360296369
8,HBOS,0.8662633387042835,0.7996465650541197,0.6121629374641423,0.4658295324436436,0.5333120108922718,0.9686609303336444,0.6895646258503402,0.8440219530327547,0.8156512154797624
9,OCSVM,0.9538503632991822,0.8221780428539873,0.8227194492254734,0.5573840494021811,0.5857860696584035,0.8028875814785288,0.831591836734694,0.9319434119036166,0.6325136243953218
10,Nu-OCSVM,0.952391086249354,0.8164347249834328,0.8290304073436602,0.4965228898023537,0.5831374614784421,0.8147494641137767,0.8301632653061224,0.9322385971049985,0.6325136243953218
11,RED1,0.9469796005229076,0.819653507526271,0.561675272518646,0.46464703342905944,0.5661352209343018,0.7377320719209888,0.7715646258503401,0.9079186163467005,0.7181299369297653
12,RED2,0.9475268294165932,0.8268484332102622,0.597819850831899,0.46459072395217454,0.5617737313775273,0.8627524869375742,0.7738367346938776,0.9073337123365548,0.7306668299552996
