,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.009279930901107198,0.5727002457963348,0.3128176656906887,0.015671426521193126,0.03549194059589632,0.6639798023798426,0.15139519542101793,0.6328413436977801,0.09447269476961334
1,KNN,0.02455151691927551,0.4480245879006746,0.0867392481049506,0.01589461533678637,0.048963735234941984,0.3008702841165008,0.24362625752429762,0.33006793034314463,0.0936293649715401
2,KthNN,0.0237574083771307,0.44492202538619163,0.0866444859431934,0.015172452921807638,0.043426740167658795,0.2857617940933006,0.21527002545060073,0.3389253909194223,0.09765525156396182
3,LOF,0.025291020066094197,0.36515349955854637,0.08612618738320393,0.015145509469915443,0.0556655462325439,0.0763938620251744,0.20796673581617428,0.25220073070945875,0.07518021917603776
4,CBLOF,0.0020096677912425534,0.17199331012535368,0.15985716816957385,0.01998859744142504,0.027706823751396256,0.02281711826993827,0.06326581263083529,0.00852920059333998,0.033254412519648995
5,uCBLOF,0.012904342249913341,0.42423347430550584,0.09483398133254026,0.015394689814421603,0.03820998525043193,0.19712105815424924,0.21409493035276306,0.32498209260601185,0.07587700847305358
6,LOoP,0.043475915906761704,0.3630899462985278,0.1021560769901026,0.01539590743300445,0.0624207411341466,0.07019133061144266,0.16160356481854982,0.19694116326237276,0.06833530717337555
7,LDCOF,0.015874815608464737,0.3711783550869028,0.12836698688095652,0.014605856583013681,0.03637037177959079,0.1294050321439572,0.11711306986692215,0.20502816351429107,0.07446081873617434
8,HBOS,0.0052378924978788,0.32330719877515524,0.27977723976993246,0.016345199368853723,0.03216862750577879,0.959906871582239,0.10876327694916026,0.5834461068208484,0.14202055106643682
9,OCSVM,0.0013504150231908839,0.1268340748218023,0.02389781840535679,0.34543133598236125,0.05938057601394267,0.2957134807272652,0.05177231220758308,0.016857505523831938,0.07727244740842173
10,Nu-OCSVM,0.0011373383275367042,0.09113539414317302,0.019355925242001984,0.5081521739130435,0.0589230554474215,0.3107499388126758,0.07241397834125111,0.008270186878606133,0.07727244740842173
