,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9168212081597908,0.8972514121619489,0.9627079747561675,0.4838204103083882,0.5663717959705469,0.9891578108171943,0.7701496598639456,0.9640530021428259,0.6737431878023392
1,KNN,0.9388015687228285,0.8549338887311054,0.8347676419965576,0.45599414381440406,0.644261783222277,0.9681810596036952,0.8378639455782313,0.9445817116368566,0.794702100300043
2,KthNN,0.9398352232997902,0.8507052920571807,0.8313253012048194,0.45152692531486377,0.6164676200194259,0.9625561460729152,0.8243945578231292,0.9468475313770935,0.791306104953769
3,LOF,0.8149758307238623,0.8167502918993973,0.85083189902467,0.4623758845280327,0.676710309181254,0.6895285296831156,0.7487074829931972,0.9408645646564919,0.6988206478476517
4,CBLOF,0.5876934302131152,0.5409763640379942,0.3499713138267355,0.5737935694577397,0.4697400721062856,0.5683118685836017,0.5236870748299319,0.20876153408842438,0.4062249709142123
5,uCBLOF,0.9232663484631988,0.838461295717757,0.8668961560527826,0.4518647821761736,0.5786570985455546,0.9317466565871902,0.8529931972789115,0.9426958061835834,0.7589565856346826
6,LOoP,0.860882254583042,0.8289627315472246,0.8864027538726333,0.4717373350601573,0.7008502947591041,0.6867355261035766,0.7418775510204081,0.9257171907115056,0.6755250750107158
7,LDCOF,0.9005867509804518,0.784404683013033,0.8565691336775674,0.4250614711789328,0.5548706782650926,0.8991341994650949,0.7101904761904761,0.9090720251891373,0.7273920764190802
8,HBOS,0.8491472349740066,0.7952601849222127,0.9598393574297189,0.4527375790678904,0.5361799112977524,0.9969157973882536,0.6817959183673469,0.9235470328420868,0.8052770803992406
9,OCSVM,0.44915331529504754,0.5160781343683928,0.47733792312105566,0.5454792874974191,0.6164640351264828,0.9533536043937956,0.4379727891156463,0.5530677395373245,0.7054332251546139
10,Nu-OCSVM,0.34724713464870943,0.4255419861781691,0.3453815261044177,0.5005912495072921,0.6320697297107893,0.9678685346820876,0.5246054421768707,0.1999606419731491,0.7054332251546139
