,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.016449574887575816,0.3619969910842107,0.06658753285153776,0.013288924349828327,0.04536114543883316,0.08875169867303265,0.20007705526281505,0.3200606105100453,0.04375533200983973
1,KNN,0.01942804651850272,0.32291732549112995,0.06900919346212102,0.015021216355496737,0.074101598271086,0.17505060758037103,0.2242043403994823,0.2328088814297379,0.05899983222589306
2,KthNN,0.01679962771142286,0.317749616614779,0.06857236679680534,0.01507459561925167,0.06964687194620131,0.14568079319130056,0.20612980211737636,0.23287830669298965,0.05539791336782332
3,LOF,0.02247312413052062,0.35142109785952574,0.17521052016614722,0.015373240378638547,0.05546771890712685,0.04961455651538074,0.14676173983883603,0.2312244101919935,0.07819779262856066
4,CBLOF,0.0009779439965096797,0.20667613722244027,0.02421648674704642,0.016775032310543628,0.037050364871035316,0.012910595270361602,0.04967580924557252,0.009375356485269049,0.06517663701770689
5,uCBLOF,0.01394914986697957,0.30938248763412124,0.06531695099810272,0.015318798431900395,0.06487631240663508,0.09413996963723048,0.2058014552152445,0.2154124904367241,0.046204196848582624
6,LOoP,0.020550947317521818,0.3362224672097701,0.1776724481539844,0.015698377381838106,0.06233058450374672,0.0438374029320313,0.15120845982628428,0.21668995722510984,0.0864910770701808
7,LDCOF,0.0007437314067148321,0.22456613705562045,0.07719494047619048,0.0081426909654905,0.051087198836571285,0.23506264594298645,0.10478316326530612,0.423911824416588,0.04493745998577435
8,HBOS,0.019513533018690115,0.3700751259482194,0.05844931666454785,0.015069168152325708,0.06793716354170426,0.10858598634561957,0.20540692684491568,0.3066658183965165,0.06497740485493914
9,OCSVM,0.012273002338000234,0.28636152563626915,0.07857305564632369,0.01523277903608241,0.06469500372366827,0.12415937697813535,0.17439908619701486,0.20971418408561732,0.030652653769566402
10,Nu-OCSVM,0.01201174166687922,0.284348820636955,0.06444464500132216,0.015295868083697359,0.06403631393222217,0.12395997373773711,0.17470001728870788,0.2080972837866129,0.030652653769566402
11,RED1,0.01798213529093365,0.3287413559293887,0.054756348186227086,0.014991857529233077,0.06771338492242102,0.13704069661064538,0.2070392577247894,0.28232061801464114,0.034222588084846954
12,RED2,0.018717362801001586,0.3725161940378248,0.0701835197050813,0.014850833603802984,0.052153895720884566,0.12288732471629936,0.2172823068539202,0.28291396423158466,0.058797845626882055
