,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9457027331043079,0.808861119000284,0.72346528973035,0.43546933948983607,0.5951610110726044,0.7650230699242027,0.81778231292517,0.9281005378930337,0.5808952299308063
1,KNN,0.9438178335816131,0.8109438606456498,0.606425702811245,0.46756104885785604,0.6272722641659345,0.8840356736012751,0.8446530612244898,0.9221968338653955,0.6724205498744719
2,KthNN,0.9400784361414283,0.8084508820095301,0.6047045324153757,0.4685136175084934,0.6153902969195253,0.8334394786800983,0.8349591836734694,0.922481086281541,0.6521707182658747
3,LOF,0.9474052229957741,0.8250181450976679,0.6115892139988526,0.464327946393378,0.6400752001737264,0.7044263577801405,0.7105034013605441,0.9300465736651069,0.7322925724083033
4,CBLOF,0.2777490651506399,0.4390166934898545,0.3855421686746988,0.49819809673968124,0.5210813186513973,0.42644389902484375,0.34998639455782315,0.2909159487471028,0.5960492315228706
5,uCBLOF,0.9339373118900678,0.8188645902363596,0.6454388984509466,0.4713854008296263,0.5964999337143531,0.7059025322773834,0.8254829931972789,0.9243888573052871,0.5747878268324047
6,LOoP,0.9396832152737664,0.82766890719177,0.6399885255306942,0.4637038496912364,0.6533525556129883,0.6960416397545154,0.7260272108843537,0.9295764638999431,0.7554405731431021
7,LDCOF,0.89398960265102,0.745684622424185,0.5530694205393001,0.4781331531430073,0.45910854899602904,0.7176735059838613,0.7663945578231293,0.8081733502427078,0.4872169493601127
8,HBOS,0.9347277536253913,0.8003723689608381,0.6310958118187036,0.45377930439026226,0.5504707871119278,0.692349483681618,0.8077414965986395,0.9188022040495036,0.7264729655256873
9,OCSVM,0.9477700422582312,0.8146833285998296,0.48594377510040154,0.5454792874974191,0.600963711286504,0.7008351238672372,0.8573741496598639,0.5417058424804304,0.5630714591880472
10,Nu-OCSVM,0.9497157449913356,0.8172236422733441,0.519219736087206,0.5005912495072921,0.5975660697164313,0.7169264628808499,0.5151768707482993,0.5290730091398084,0.5630714591880472
11,RED1,0.9370686772261576,0.7974691533339644,0.570281124497992,0.463680387409201,0.5929416275648305,0.6743682428206024,0.8122721088435375,0.9101707701053919,0.508736758312412
12,RED2,0.9456723314991031,0.8270693300514373,0.6305220883534136,0.4628545150815549,0.5951747368883866,0.7375867144550038,0.8361496598639455,0.9234158394192504,0.6426489498499786
