,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9519350621712825,0.8303196692858721,0.6919104991394147,0.0,0.5930892219314878,0.7371653943748062,0.8216598639455782,0.9308501333799799,0.7672518523054315
1,KNN,0.945064299395008,0.8318659471740982,0.6775674125071716,0.0,0.6239350496629028,0.8879400948887423,0.8521904761904763,0.9336707919709626,0.8043573571734738
2,KthNN,0.941476909980847,0.8278266906497522,0.6810097532989099,0.0,0.6103955785688013,0.841877243900146,0.8474489795918367,0.9332061485984169,0.79446206600943
3,LOF,0.820569726081537,0.7993625548297516,0.685025817555938,0.0,0.6285485976456766,0.6501785692901587,0.652408163265306,0.9114553723706651,0.7540799706080461
4,CBLOF,0.5303560027969476,0.5399349932153112,0.5524956970740103,0.0,0.44111234457466486,0.6097572950720889,0.4596734693877551,0.24784624130843574,0.5316808523666647
5,uCBLOF,0.92314474204238,0.8302565559026791,0.6884681583476764,0.0,0.5911612609270884,0.7620236867698208,0.8189931972789115,0.9348351335986356,0.7722784887637009
6,LOoP,0.8498768734989208,0.8184543532456058,0.7203098106712564,0.0,0.650278405296781,0.6563234319547433,0.6437823129251701,0.8887753093978222,0.7414591880472721
7,LDCOF,0.8152798467759098,0.7981634005490863,0.7016637980493402,0.0,0.5825063808304587,0.7483219174853694,0.7425170068027211,0.8178106004285652,0.7295879003122895
8,HBOS,0.9232967500684036,0.7974691533339645,0.625358577165806,0.0,0.5826095336838215,0.6714060334686521,0.7462176870748298,0.8790013993965103,0.8160559671789848
9,OCSVM,0.9434834159243609,0.5742686736722522,0.4635685599541021,0.0,0.599397740775359,0.7530613607242344,0.5029727891156462,0.4556784886517689,0.6706227420243708
10,Nu-OCSVM,0.9431793998723133,0.5452049607119189,0.5926563396442914,0.0,0.5978354806981553,0.7919565471627013,0.6126258503401361,0.5218792364542791,0.6706227420243708
11,RED1,0.9480436567050741,0.8187068067783774,0.6035570854847963,0.0,0.5929141201372672,0.6757573302330535,0.8065442176870748,0.922388157607032,0.6284269181311617
12,RED2,0.9526342990909918,0.830666792893433,0.6718301778542741,0.0,0.5880654478142253,0.7352123811438371,0.8166530612244898,0.9235688984125596,0.7778188720837671
