,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9070318912838597,0.9004070813215942,0.9575444635685599,0.4800664451827243,0.5772121914034881,0.9908891570974063,0.7776054421768708,0.954279092141514,0.7043046965893087
1,KNN,0.9782324506733956,0.9656663195430591,0.9592656339644291,0.47078007395311294,0.681853640175619,0.9606007632986794,0.8775238095238095,0.9611503476625705,0.6796583185353011
2,KthNN,0.9766515672027483,0.9740288428161191,0.9638554216867471,0.45586275503500573,0.6520025435164156,0.955248245327732,0.8485714285714288,0.9610355534175888,0.6548447737431877
3,LOF,0.9776244185693005,0.8723531824923475,0.9598393574297188,0.49458490530622967,0.7710311719971932,0.5060797129642298,0.8799591836734695,0.9706181396772642,0.7417635172371563
4,CBLOF,0.7872495667771259,0.3890624506926694,0.15547905909351692,0.5389567730915779,0.544994702727844,0.05235982304352801,0.6824625850340136,0.35815804434337695,0.6337456371318351
5,uCBLOF,0.9623628127565136,0.9711887405724384,0.9512335054503729,0.4487114514706158,0.5694818649611838,0.9858566803412243,0.8365442176870749,0.9530436874098045,0.5406111077092646
6,LOoP,0.9762259447298818,0.8761399854839218,0.9437751004016065,0.5318242393528164,0.7849737691848963,0.4829436199028385,0.8925170068027211,0.9547382691214413,0.747521890882371
7,LDCOF,0.9604779132338187,0.5963899144813658,0.7676419965576593,0.4333671190194643,0.5835533090598418,0.6645149430277718,0.7782789115646258,0.9292867450911795,0.5598518155654889
8,HBOS,0.9360350226491959,0.8295307519959608,0.942627653471027,0.4479418886198547,0.5505579404625444,0.994077797965607,0.7878503401360544,0.9575261293567149,0.7812785499969384
9,OCSVM,0.8518833794424345,0.9408312032566506,0.9627079747561675,0.5082868780149032,0.5441152461898029,0.9871031620153551,0.705891156462585,0.9265808807451785,0.4887930928908211
10,Nu-OCSVM,0.8470191226096738,0.9390955852188456,0.9621342512908778,0.5135705839292752,0.5411693848245596,0.9875106215413904,0.7020272108843537,0.9245255171207417,0.4887930928908211
