,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9457027331043079,0.808861119000284,0.6781411359724612,0.0,0.5953182860451081,0.7130672667471292,0.81778231292517,0.9281005378930337,0.7783840548649807
1,KNN,0.9442738576596844,0.8002145855028558,0.6032702237521514,0.0,0.6271494013758847,0.880408055733696,0.8338095238095239,0.9088752350548827,0.7363700936868532
2,KthNN,0.9395312072477428,0.796743349427246,0.5995410212277682,0.0,0.6152859305031817,0.8398877447986615,0.8177755102040816,0.909842786548301,0.7336323556426428
3,LOF,0.903383698659289,0.8101233866641422,0.5995410212277682,0.0,0.6390819616444912,0.6594507194876079,0.7424489795918366,0.9251541522718327,0.6555060927071215
4,CBLOF,0.30766424467211867,0.5198333806683707,0.5226620768789443,0.0,0.499289884319271,0.33168517585705487,0.36480272108843537,0.2918015043512485,0.33511603698487535
5,uCBLOF,0.933663697443225,0.8113856543280002,0.6242111302352266,0.0,0.5940761834108228,0.6587799858693689,0.8174965986394558,0.9056227314470634,0.6326018002571796
6,LOoP,0.9374030948834098,0.8306352362018364,0.6265060240963856,0.0,0.6536227895856991,0.651508418120942,0.7545578231292517,0.9299099138496523,0.6428755128283632
7,LDCOF,0.9134162283768583,0.5441635898892361,0.5565117613310384,0.0,0.45139173913451025,0.5030952859592842,0.5119727891156461,0.7568712555210565,0.48078072377686604
8,HBOS,0.9342717295473202,0.804695635709552,0.6454388984509466,0.0,0.5519368827846578,0.6882692320921768,0.8191020408163265,0.9250776227751781,0.7395248300777663
9,OCSVM,0.9134466299820629,0.751459496986336,0.7498565691336776,0.0,0.5903353127521979,0.6788581706055864,0.7733061224489796,0.8966633139458609,0.18509950401077702
10,Nu-OCSVM,0.9113185176177303,0.7436965508536085,0.7326448651749857,0.0,0.5798581632224913,0.6791484269162789,0.7726938775510204,0.8968109065465518,0.18509950401077702
11,RED1,0.9370686772261576,0.7974691533339644,0.5714285714285714,0.0,0.5930990001803327,0.6738162921132173,0.8122721088435375,0.9101707701053919,0.7050566407445962
12,RED2,0.9456723314991031,0.8270693300514373,0.6356855995410213,0.0,0.5955292507177598,0.7257481195890652,0.8361496598639455,0.9234158394192504,0.7299761190374134
