,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9409600826923661,0.8227776199943196,0.8169822145725759,0.0,0.5841521117223377,0.7688167086942109,0.8253877551020409,0.9332280141688897,0.8368213826465005
1,KNN,0.942571367768218,0.8238505475085992,0.699942627653471,0.0,0.6576870538551911,0.9283693949791672,0.8578503401360544,0.9194363055932129,0.8324095278917396
2,KthNN,0.9403520505882711,0.8203319763955946,0.7005163511187608,0.0,0.6315257884644228,0.8875319729097506,0.8472925170068026,0.9205569160799405,0.8338803502541179
3,LOF,0.912443377010306,0.8330651014547634,0.6987951807228916,0.0,0.6970049181941379,0.7363568705416598,0.8131292517006803,0.9253728079765601,0.6228155042557101
4,CBLOF,0.3733621135195938,0.40064375650856765,0.438324727481354,0.0,0.47035508350652405,0.579240431440323,0.3443537414965986,0.27665959679888047,0.658057681709632
5,uCBLOF,0.9414161067704375,0.8134999526649627,0.7091222030981068,0.0,0.5917070015944265,0.800506496243,0.8408707482993196,0.9201742685966676,0.8057559243157186
6,LOoP,0.9231143404371751,0.830729906276626,0.7458405048766494,0.0,0.712617754666331,0.712203428092133,0.8107891156462586,0.9282426641011065,0.620239421958239
7,LDCOF,0.9029580761864227,0.5088200953012086,0.5588066551921973,0.0,0.5845279814703719,0.7479957613202382,0.6457278911564626,0.841053701841081,0.6689376033310881
8,HBOS,0.9462803636031982,0.8231878569850737,0.6655192197360872,0.0,0.5867829628255808,0.7051168375922687,0.7748163265306123,0.9232354484628504,0.8767711713918315
9,OCSVM,0.9289818502416927,0.7853829404525229,0.8032128514056225,0.0,0.5962098503149573,0.6831900524025767,0.8137687074829931,0.9154349061967025,0.24920947890514972
10,Nu-OCSVM,0.9271881555346122,0.7778724478525672,0.793459552495697,0.0,0.5935957240624486,0.6822367316405622,0.8081496598639455,0.9148554685791752,0.24920947890514972
11,RED1,0.9436354239503846,0.809208242607845,0.5387263339070568,0.0,0.580440645555246,0.6895852203687977,0.7973469387755101,0.9103839594175012,0.6948355887575777
12,RED2,0.9510534156203448,0.832055287323677,0.6041308089500861,0.0,0.5746071738478349,0.7222833377539328,0.8023673469387754,0.9158558184283028,0.8530267589247442
