,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0038192747228152956,0.5369781426617544,0.2820106112620487,0.018064468018597644,0.03872442043204871,0.7214026066153235,0.1593952757884352,0.6576172565382479,0.059995751818682386
1,KNN,0.024604800488610024,0.6522858529841916,0.20143844938595168,0.017408948843400787,0.06289182716564132,0.2342672905254727,0.2662895487992355,0.47021412534418106,0.048925801933695695
2,KthNN,0.01822247613438461,0.6860788283523016,0.21277046694550328,0.016053688539764473,0.05503873810892741,0.2233761249453094,0.23242316147407466,0.371343009613384,0.045993582741780295
3,LOF,0.012900822507722549,0.2900830544405205,0.4217218207059539,0.01871803275687734,0.06974527931888003,0.02504829397971213,0.3597433987521852,0.3827595848079668,0.06755287973618686
4,CBLOF,0.0010216052347275899,0.08597389558861404,0.07396706952174778,0.014004488444865654,0.030599664707115542,0.010170481243526522,0.16099916626938732,0.009684259989906416,0.09377249845118547
5,uCBLOF,0.013832847552753472,0.6835685600280824,0.1656457852003017,0.016220025083789745,0.04949210541799866,0.8087831179927997,0.23792654987370518,0.5878680959013375,0.043488157851358254
6,LOoP,0.009523929717646817,0.2616944774775486,0.34636356699711807,0.02166807700476901,0.08132752609080433,0.039625875289164336,0.35907699496606305,0.11665207395656142,0.07897175370797432
7,LDCOF,0.008745414124732816,0.4702380952380952,0.184765625,0.015746194193156683,0.04089383028569563,0.8421461345651268,0.21471896328756981,0.23719500158654797,0.04285531841496277
8,HBOS,0.006809117607863896,0.3534579086044516,0.2367544318672138,0.017538218632554666,0.03760727966216071,0.8886452735698535,0.1403906197646396,0.5363218318442124,0.1230211481285882
9,OCSVM,0.008413305871224575,0.578353126202799,0.317017210993653,0.01628843400956609,0.049443741726404714,0.23582721982492297,0.21310960000493182,0.5641876945924049,0.03702516106322935
10,Nu-OCSVM,0.008782386747083131,0.5679886073386401,0.31427748123447247,0.017176911581330986,0.049117235491593934,0.31275962456191525,0.2257916929148085,0.5562338778420604,0.03702516106322935
