,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8794576353631471,0.8057685632238317,0.6953528399311532,0.535850366950091,0.5938645073391826,0.5683891207898886,0.8310748299319728,0.8502919053658109,0.6459469720164105
1,KNN,0.8970905663819051,0.8013190697087318,0.6563396442914514,0.5274977945454886,0.6266186419343089,0.5952343134324822,0.8513197278911565,0.8413434206498447,0.6837560467821934
2,KthNN,0.8956008877268719,0.7973113698759822,0.6471600688468158,0.5381027460254895,0.6125017798923718,0.5933389845666297,0.8456598639455782,0.8394438492150259,0.6665611413875451
3,LOF,0.7669108928951448,0.7831739720407712,0.6534710269650028,0.5017737485218763,0.636655184408009,0.5494729040179553,0.6827074829931973,0.7857775396860105,0.7235735717347376
4,CBLOF,0.4676070896543337,0.46517719082331405,0.3310384394721744,0.4546990258460499,0.45165946228726106,0.42797294236379013,0.34530612244897957,0.31746621769361966,0.5984091604923152
5,uCBLOF,0.8801568722828564,0.7884754962289753,0.6517498565691336,0.5555774536854552,0.5899202463147859,0.4805142775173403,0.8352517006802721,0.8466731534525735,0.5964472475659788
6,LOoP,0.8046088833490408,0.7942819274827227,0.6689615605278255,0.46357715336824523,0.655665257929281,0.5673542163984114,0.6693877551020407,0.7702229194909694,0.751366113526422
7,LDCOF,0.8003526586203753,0.5069266938054214,0.5639701663798049,0.5624002853013496,0.5847968623901042,0.5575171212240501,0.7372925170068028,0.8099991253771811,0.6336586859347254
8,HBOS,0.878849603259052,0.7636719366341632,0.7074010327022375,0.5174371680087092,0.5842880168271806,0.5492034894964263,0.7588163265306123,0.785886867538374,0.7557595983099625
9,OCSVM,0.8628279573161463,0.7793556123576004,0.6855995410212278,0.5240910711939486,0.5957101413468886,0.5694304458792496,0.840108843537415,0.8671939913412341,0.44918865960443327
10,Nu-OCSVM,0.8594837807436233,0.7726655937391523,0.6701090074584051,0.5230681156972051,0.5925525899610053,0.5297615908247209,0.8375238095238096,0.8691126951502164,0.44918865960443327
11,RED1,0.8821633782263703,0.7875919088642747,0.6678141135972461,0.5192859958330986,0.5925946601443375,0.5856564666746671,0.8159863945578232,0.8366532557834434,0.511358765537934
12,RED2,0.8781503663393426,0.8012875130171353,0.6861732644865175,0.5195956979559659,0.5881639835486613,0.5942558704160484,0.8247074829931973,0.8292845585341322,0.7038601432857755
