,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.018518274398221814,0.4072211072823795,0.07562104440899953,0.0,0.04277140029209064,0.05110419725633454,0.19281990855088996,0.29578425463947294,0.05358528154083882
1,KNN,0.027472387588693525,0.42526958885097005,0.06985666788962652,0.0,0.05589048508761667,0.10339973134853313,0.22474384632436445,0.3311765382576815,0.06843213392367371
2,KthNN,0.02273898179396767,0.41712455535952886,0.06915002039860728,0.0,0.05140225991078121,0.08111802221538818,0.212440142301422,0.3399389743139851,0.06629813967156498
3,LOF,0.007916139386324031,0.3265263176323409,0.17973804242315639,0.0,0.052287487018334064,0.09160589166215125,0.10530714301646663,0.15001950129998257,0.09014521731235782
4,CBLOF,0.0012692859375927742,0.14082673851689362,0.048358104069258875,0.0,0.0292762487743504,0.01757346866779242,0.045370295627577946,0.0086543249268233,0.09981948666081017
5,uCBLOF,0.013679525180056225,0.39011662399951674,0.06887541697113889,0.0,0.04794628211128721,0.04925775921578523,0.20404056752205327,0.33385958531110665,0.06462464139160334
6,LOoP,0.008600418376117481,0.34477259509900954,0.06422535493276316,0.0,0.05833598355309037,0.06489261070604552,0.10289095632054127,0.13470667015416968,0.09127461769011305
7,LDCOF,0.02516270709068674,0.3398517396750612,0.26171875,0.0,0.0401568642622968,0.009454556635100234,0.1127328119004901,0.06181926928769964,0.04577460528724676
8,HBOS,0.011467149222103717,0.32616648570300727,0.06036272382243042,0.0,0.03930222002930199,0.040670116784749424,0.1623825752387052,0.14064609236643263,0.13430922592012148
9,OCSVM,0.01826626905192696,0.40281642822540703,0.07147198476523893,0.0,0.049160065152033,0.03177030127085006,0.2090359624302648,0.3210748367730449,0.03538580387111852
10,Nu-OCSVM,0.01815051668815235,0.4005447170680062,0.07029231850324119,0.0,0.04861004588411058,0.030984709055562876,0.2093506894144528,0.32348183521538726,0.03538580387111852
11,RED1,0.01765086350452818,0.3874114582535549,0.07123837296019377,0.0,0.04771856161978469,0.032418129712527416,0.19334027592124292,0.2859925099786154,0.03745566700428232
12,RED2,0.018924829007004443,0.3956261895819395,0.07607210033890818,0.0,0.040616287353112644,0.04557616341267387,0.1984800379999764,0.26538442026329073,0.17075025574883262
