,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.010653109984638278,0.49960446779300866,0.3846937459194204,0.017865324513242926,0.0388757511767068,0.6195742953479139,0.15753097947903327,0.6091457319370303,0.055590952612896365
1,KNN,0.04807741712428858,0.6674645310455647,0.39366587421870014,0.01758610294145638,0.0870852802927955,0.2562633982991903,0.29352909628594487,0.4466433956581688,0.05099097681632722
2,KthNN,0.03951862709317517,0.7227157766527129,0.43081179441473555,0.016088130216189756,0.07312234894837813,0.2455919078958853,0.25091645982686067,0.3861243670049841,0.04714523128318259
3,LOF,0.05035276042765311,0.3784732191013546,0.4017388902363435,0.019436224485732432,0.0993000182519683,0.02311986226994438,0.3301645854353125,0.4005875455124182,0.07565553225210078
4,CBLOF,0.006085923590924813,0.11028509679913696,0.014217239799170656,0.0210626279922018,0.04137467415754411,0.01281840678410786,0.12811866142627074,0.0240799898630127,0.059694432203651476
5,uCBLOF,0.022407117476755042,0.7652663605694672,0.3761953900658219,0.016276493032429985,0.05012338825194744,0.8972600105566717,0.239875308656975,0.5259529243086748,0.04108775490296477
6,LOoP,0.03987398381636918,0.3783422200621737,0.39129650510676606,0.02136956296380236,0.12141877141416427,0.03455744415719429,0.3325915729992315,0.19008580511561554,0.08540395666548095
7,LDCOF,0.018824143535368563,0.44357507431712373,0.14466731898238747,0.0081426909654905,0.04697221229965833,0.17624135139395913,0.19897291850376603,0.18571615337835434,0.04710027862709423
8,HBOS,0.01716243481313208,0.4231896749392917,0.2294864091881812,0.016344119914074362,0.0432090818021933,0.895513958119853,0.17024953258905212,0.5595762261863639,0.0936544787112877
9,OCSVM,0.007002340783309814,0.5645786606545526,0.4096457382486794,0.018101135061690865,0.04990748874173931,0.8943613788945205,0.16480956600631524,0.5460633106148611,0.033804624741295565
10,Nu-OCSVM,0.007963753151554691,0.551830433163503,0.41098773231126173,0.020224264812051404,0.04961559943393558,0.8925339455754957,0.17170324325398942,0.532166096318624,0.033804624741295565
