,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0026528191828745877,0.6407994402241374,0.42673940458924015,0.014809177473160618,0.03402466366590456,0.9157644478594898,0.1881954142899415,0.6658158899516142,0.09394159423614712
1,KNN,0.02387466883581023,0.7234233099614864,0.43283000858869125,0.015974518413753958,0.09127243802344673,0.1504794675212447,0.3183063073404226,0.6021809889726958,0.045113006365084266
2,KthNN,0.017300930479558982,0.7435195047301715,0.43272138714383807,0.015800031761123504,0.07335148076928469,0.14145871991313522,0.2596252673525099,0.5298573130598899,0.043071075984615015
3,LOF,0.13228589943390762,0.2203427181653143,0.7014323141279972,0.02098056548460851,0.09332250340408334,0.02138605554857003,0.3793551857862843,0.6041627953183384,0.05034975423170323
4,CBLOF,0.0024131897285031728,0.08671681680595755,0.014581144798517876,0.017168199454987907,0.03770097402132932,0.02190007492712688,0.06017377709061329,0.03281656671811883,0.0327700897176769
5,uCBLOF,0.010551716908044628,0.6698815822535912,0.5603895637509082,0.016246975168382975,0.04573220265820492,0.759257396841148,0.24961341885030852,0.5874712399582875,0.042501946557727655
6,LOoP,0.05739560783645951,0.22565321571451313,0.6696688523894405,0.019108088444417873,0.11274933238685894,0.02898444172989256,0.36638496080695643,0.28800871220874136,0.056778878853958076
7,LDCOF,0.194722898246656,0.5016471133280563,0.10664096177922841,0.011002852900181877,0.040312757665148,0.6221433186414157,0.14171214113961222,0.34269539068901506,0.04652454264611653
8,HBOS,0.0035999305948020686,0.459168393751078,0.3956802384985615,0.014599309655254137,0.03445912535402673,0.9429161148028299,0.12582701987766054,0.5713056649995182,0.12417789673145431
9,OCSVM,0.00393276914133772,0.6774229308138576,0.4441710962387654,0.014391413171854998,0.04419135429781839,0.9099897851453045,0.23972290757731554,0.616981941347508,0.040742267858909643
10,Nu-OCSVM,0.004230394625915519,0.6757627232409222,0.44533104739871654,0.014138019694644236,0.04428055274494146,0.9145265173641074,0.2645460670055293,0.6069923199907379,0.040742267858909643
