,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7099382847414343,0.9380226577045663,0.9598393574297188,0.43073934343149956,0.5472377995352417,0.994704503941213,0.7639319727891157,0.9573676039707876,0.646311922111322
1,KNN,0.9631836560970419,0.9638991448136578,0.9454962707974757,0.48060607766953845,0.6803078678161534,0.8996522886348297,0.861278911564626,0.9655726592906808,0.5618210764803135
2,KthNN,0.9524214878545588,0.9649089589447442,0.9454962707974756,0.47745743942038776,0.649028100650626,0.8859205560935863,0.8391156462585033,0.9658787772772992,0.5524848447737432
3,LOF,0.982762289848904,0.7367540787023888,0.9747561675272518,0.48070461925408714,0.7496960791928238,0.5550622998786947,0.8700136054421769,0.9711429133686098,0.5912056824444308
4,CBLOF,0.5121758428845042,0.26962037300009467,0.11589213998852552,0.5014546614861948,0.5586070573457887,0.42229144006316743,0.49314285714285716,0.596328770717628,0.4714334700875635
5,uCBLOF,0.9308059465539781,0.9384644513869166,0.9672977624784853,0.48079846838222867,0.558644022195202,0.9765523756964356,0.8428707482993197,0.9560064722088599,0.535438123813606
6,LOoP,0.9856504423433557,0.7581179589131876,0.9747561675272518,0.48854571391031776,0.7696159064796564,0.5236120400315226,0.8770476190476191,0.9641349980320987,0.6242863266180884
7,LDCOF,0.9523606846441492,0.859919846003345,0.8433734939759037,0.466209621412617,0.5664154284418543,0.9755183885475132,0.7350068027210884,0.9544977478462413,0.5708688996387239
8,HBOS,0.7671237041315782,0.8923916816560951,0.9477911646586346,0.45479287497419146,0.5358293450353167,0.9976125450245069,0.7458775510204081,0.9273571084969606,0.7103496417855611
9,OCSVM,0.8099595658650777,0.9460696140616618,0.948938611589214,0.4816149557970606,0.5171351187160314,0.9835721348845943,0.8115510204081633,0.9321238028600166,0.5257375543444982
10,Nu-OCSVM,0.8208737421335845,0.9455647069961185,0.9495123350545036,0.4697524259999624,0.5153599690042066,0.9829164593316309,0.81578231292517,0.9260178423055058,0.5257375543444982
