,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8587845438239139,0.7994887815961373,0.6953528399311532,0.0,0.5952598676340354,0.5666314037862243,0.8217687074829931,0.8591747933703591,0.7985848998836569
1,KNN,0.8762046636062385,0.7869607750323456,0.6523235800344234,0.0,0.6277514681043288,0.5950480367569666,0.8558095238095238,0.8478320286876285,0.7620023268630213
2,KthNN,0.8702155473809017,0.7847518066205939,0.6442914515203672,0.0,0.6158056423369329,0.5930848064630949,0.8459455782312926,0.8471487296103555,0.7566450309227849
3,LOF,0.8607302465570182,0.7948815046230553,0.6500286861732645,0.0,0.6399652960044708,0.5501112793571761,0.7274013605442177,0.8315476450780601,0.7390912987569652
4,CBLOF,0.2867783418964521,0.4248161822714507,0.4825014343086632,0.0,0.517138801251973,0.45343972327811277,0.3010748299319728,0.3099280622731447,0.6392529545037046
5,uCBLOF,0.8516705682060013,0.7695414812711036,0.6649454962707975,0.0,0.6029317059202679,0.45892427321903984,0.8443809523809523,0.848176411422574,0.7191194660461697
6,LOoP,0.8849907275104125,0.8125848086086654,0.6821572002294893,0.0,0.6532825734810991,0.56899164723259,0.7369387755102041,0.820603927056457,0.7310023880962586
7,LDCOF,0.8245219347581553,0.7366594086275995,0.5536431440045898,0.0,0.4585835923383612,0.5521197857627139,0.755156462585034,0.7753968601040802,0.5875837364521462
8,HBOS,0.8858419724561457,0.7717031146454606,0.6824440619621343,0.0,0.5505743026392848,0.4968792860387785,0.8150612244897959,0.8126448594043818,0.7437695180944216
9,OCSVM,0.8668713708083786,0.7902900059957714,0.7329317269076305,0.0,0.6016207370740756,0.5580376308949714,0.8677210884353741,0.8607573140333231,0.5386834853958729
10,Nu-OCSVM,0.8731645030857629,0.7897219855470352,0.6985083189902467,0.0,0.5983367240561995,0.5689043053581998,0.5845918367346938,0.8593743167009227,0.5386834853958729
11,RED1,0.8730732982701487,0.7661018018870902,0.6546184738955823,0.0,0.5930990001803327,0.5855849217553882,0.8196462585034013,0.8288581799099138,0.7050566407445962
12,RED2,0.867692214148907,0.7987945343810154,0.6741250717154332,0.0,0.5955292507177598,0.5912931260059412,0.8465714285714286,0.8385774259850439,0.7299761190374134
