,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.009367638468970357,0.34438249534370835,0.083928449932752,0.0,0.04111717390937447,0.025774957102513346,0.22058350414009864,0.1689919894289828,0.10521472425684919
1,KNN,0.0074701485220418865,0.3271826198991551,0.18381758205757293,0.0,0.08055400441033991,0.042646153838171504,0.25490179808881386,0.13835141436319803,0.10140017817556254
2,KthNN,0.007230633928606022,0.32376159939607496,0.182484444302367,0.0,0.07204754011407011,0.038416842063341866,0.2446746460331593,0.13652153966460612,0.10005546649076502
3,LOF,0.006270286599595577,0.35329068601042696,0.18401058799634729,0.0,0.06594654815737125,0.02727240673273379,0.21963677598607,0.13324397491974815,0.07168304877670015
4,CBLOF,0.0009814188031807406,0.16594439085807955,0.04603949989956064,0.0,0.03303013012080384,0.022880257017901244,0.07503711786196171,0.009708974366926283,0.12095008401744821
5,uCBLOF,0.005967262403158271,0.3035043729758037,0.18172337182978912,0.0,0.06466261604650918,0.0218275770846412,0.21887575507910548,0.12706300399915377,0.08577665907707145
6,LOoP,0.005895424389639204,0.3356032030418685,0.1890014745848465,0.0,0.07373295651669942,0.03482495591960247,0.20589708683768818,0.13449088578728174,0.07077285946468106
7,LDCOF,0.007155904813852325,0.23644079736331122,0.20219494047619047,0.0,0.053700839933046834,0.024042583188099743,0.22062373963001483,0.08383149069974011,0.05050912671182821
8,HBOS,0.009550313206295746,0.342599998510704,0.07735079728930186,0.0,0.047239825744015876,0.027302670884530186,0.18820603142425035,0.15966346942005127,0.15481464095940412
9,OCSVM,0.006603779757523272,0.2937260130807115,0.1839578154764887,0.0,0.0673327309128958,0.025683314926839458,0.21165825481043102,0.12010810964343481,0.024539012450264887
10,Nu-OCSVM,0.006437231755578864,0.29053477386772636,0.18317219610935115,0.0,0.06729277626179679,0.025571351292228445,0.21117772572205148,0.11935512158689973,0.024539012450264887
11,RED1,0.00797915343624255,0.3038837712037015,0.0740656954963095,0.0,0.05911059699571822,0.027535792488540885,0.20983591609937918,0.1419348398781207,0.052049127529840096
12,RED2,0.00730936417340783,0.3384228808598001,0.07352265476599229,0.0,0.04036902944751441,0.026594995056784913,0.2108281307082125,0.15278233019840698,0.2119090514206531
