,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7932082813972579,0.9064028527249204,0.8932874354561102,0.4837734857443175,0.52213646284165,0.8633578415448199,0.809156462585034,0.6545267197271176,0.5539177025289327
1,KNN,0.7994710120694372,0.9127141910442108,0.8898450946643717,0.4866030369577867,0.6026029837914855,0.8642872885214483,0.8334013605442178,0.42283093540910477,0.545779192945931
2,KthNN,0.7843310126774694,0.9097478620341444,0.8898450946643718,0.48747114139309644,0.5846619058172462,0.8601972020535023,0.8218299319727891,0.41557429920846634,0.5485334639642399
3,LOF,0.847353540266926,0.7048187068067784,0.8898450946643717,0.48663119169622915,0.6328930415247216,0.5177492804104762,0.7790476190476191,0.51603839594175,0.48924621884759045
4,CBLOF,0.37226765573222265,0.33506895137113824,0.2248995983935743,0.5681626217692438,0.49848340894807136,0.3054000362310809,0.4670204081632653,0.3651987580355972,0.43366603392321346
5,uCBLOF,0.7529565561061624,0.8991448136577361,0.8921399885255307,0.4935337950710438,0.5354421208014627,0.9239462730269286,0.8166530612244898,0.4388857305287095,0.5294225705713062
6,LOoP,0.8991882771410331,0.7378270062166682,0.8588640275387263,0.48581470428139717,0.6413479208625258,0.4979780152246977,0.7923265306122448,0.4503924869899856,0.4924407568428143
7,LDCOF,0.6585291703401939,0.8354634100160939,0.8026391279403328,0.5702179176755447,0.5200121278183676,0.9527197133515102,0.7533333333333333,0.4288385008964884,0.4945294225705713
8,HBOS,0.7023682850454503,0.8883208684401527,0.8037865748709122,0.47999136588021096,0.5070842645685586,0.6438163710979928,0.7335374149659863,0.5863061398521887,0.5414506153940359
9,OCSVM,0.8052473170583405,0.579065290794913,0.36947791164658633,0.5595519642622521,0.5273949428291875,0.9675616151316484,0.4996462585034014,0.6529168671010627,0.5395774906619313
10,Nu-OCSVM,0.8148542243030432,0.5824418567957336,0.4718875502008032,0.5017737485218763,0.5352032023332548,0.9653579908515246,0.5340680272108843,0.6401419075523681,0.5395774906619313
11,RED1,0.7567871583619615,0.9063397393417275,0.8932874354561101,0.4801509093980517,0.5057144867392996,0.6391851115226812,0.7954149659863945,0.6809539948397254,0.5652636090870125
12,RED2,0.7373605326361232,0.913629335100508,0.8577165806081468,0.4787431724759277,0.5048854418864583,0.7012379971804984,0.8028979591836736,0.6809539948397254,0.575289939379095
