,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.719149971118475,0.8943481965350752,0.948938611589214,0.44426300279670405,0.5218326675754719,0.9182562352747536,0.7778911564625851,0.9398095508811826,0.5496993448043599
1,KNN,0.9539415681147965,0.930417495029821,0.9300057372346529,0.4717279501473431,0.534319058931288,0.9818563307698952,0.8521496598639456,0.8757816941444003,0.5656689731186088
2,KthNN,0.936886267594929,0.9274511660197544,0.9328743545611016,0.4676971300936614,0.5294250942059648,0.9798911385961144,0.8325850340136055,0.8770498972318188,0.548640622129692
3,LOF,0.9846471893715988,0.7857931774432768,0.9437751004016064,0.479348499352441,0.5699718933234061,0.5659080815948402,0.8653197278911565,0.9204366554423404,0.6055036433776254
4,CBLOF,0.8577204876417476,0.3744201457919152,0.09466437177280551,0.48993937346322053,0.5365695068615688,0.6565475448856467,0.5247755102040816,0.2944144400227402,0.5293637866634009
5,uCBLOF,0.9195573526282189,0.9135977784089115,0.8714859437751004,0.46253542804587344,0.5289903736278648,0.9461772260393951,0.828625850340136,0.8877366948003674,0.524176106790766
6,LOoP,0.9855896391329462,0.7695730379626999,0.9110728628800918,0.4890384218330612,0.5881192770043708,0.5400686454136471,0.8718367346938776,0.9228200026238685,0.6419802828975568
7,LDCOF,0.917186027422248,0.9158698602038562,0.7842799770510614,0.4131614017305779,0.5377056249955364,0.8366879186670835,0.7983809523809524,0.8394629815891896,0.5401702283999754
8,HBOS,0.7369349101632566,0.842153428634542,0.9420539300057372,0.4539388479081029,0.5076853967140174,0.9818355908965715,0.7496326530612245,0.9513764376612586,0.6704708835956157
9,OCSVM,0.8129389231751436,0.9122408406702642,0.9242685025817555,0.5654503819659514,0.5207989072018797,0.8414989068252274,0.8094013605442176,0.8881794726024401,0.4886363358030739
10,Nu-OCSVM,0.8303286413522634,0.9120199438290888,0.927710843373494,0.5234435122097716,0.5272200781679629,0.9161060403734504,0.8169795918367347,0.8942089036602965,0.4886363358030739
