,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7493995682972061,0.9382435545457414,0.9678714859437751,0.4028098428965595,0.5456289776967769,0.9937923571783276,0.7486394557823128,0.9551209166047142,0.6483773192088667
1,KNN,0.9736418082874775,0.9739026160497334,0.9598393574297188,0.4783208513992905,0.668495910599633,0.9059748925233776,0.8704761904761905,0.9671469803647177,0.5376057804176106
2,KthNN,0.9624844191773325,0.9763009246110637,0.9558232931726908,0.47443549749422825,0.6382101910053278,0.8948687158374921,0.8445578231292517,0.9666823369921722,0.5293270467209602
3,LOF,0.9847687957924179,0.7753479125248508,0.9764773379231211,0.48356701766240595,0.7506734716583107,0.5538894014406315,0.8827891156462586,0.9725095115231557,0.5577013042679566
4,CBLOF,0.3913294621956039,0.11836915017829532,0.09351692484222604,0.570940555962235,0.5430287585970475,0.4934517289639974,0.6217006802721088,0.4879630034547602,0.5603122895107464
5,uCBLOF,0.9291338582677166,0.9585345072422606,0.9374641422834193,0.47480150909398056,0.5540736324177433,0.9762988090879373,0.8557278911564626,0.957914243232606,0.5328075439348477
6,LOoP,0.9844647797403702,0.7921045157625674,0.9845094664371772,0.4873913696341761,0.7736705319903012,0.5214370031443584,0.8931972789115645,0.9633150391393711,0.5667381054436348
7,LDCOF,0.9555224515854436,0.9548108176338792,0.9236947791164657,0.4843178106875387,0.5709735152015083,0.9786286561351935,0.7689115646258504,0.9512507106310404,0.45189884269181313
8,HBOS,0.794910771288724,0.8490959007857616,0.9621342512908777,0.45002533926459815,0.5359483718504274,0.9967325272300014,0.6985442176870748,0.9230222591507412,0.7158508358336905
9,OCSVM,0.8197184811358039,0.9540534570355643,0.963855421686747,0.46401824427051075,0.5212383285929053,0.9827260295856586,0.8192380952380953,0.9278272182621244,0.5268091359990202
10,Nu-OCSVM,0.8348584805277718,0.9501088705860077,0.9632816982214573,0.4147568369089851,0.5175554020793607,0.9829096309703892,0.8271156462585034,0.9216993921371409,0.5268091359990202
